IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,
,INT-BEARING BALS DUE FRM DEP INSTS,NONINTEREST-BEARING BALS&CURR&COIN,AVAILABLE-FOR-SALE SECURITIES,INVEST. IN UNCONSOLIDATED SUBS & CO.,INTANGIBLE ASSETS,PREMISES&FIXED ASSETS(INCL ROU),OTHER REAL ESTATE OWNED,OTHER ASSETS,TOTAL ASSETS,"OTHER LIABILITIES, TOTAL",TOTAL LIABILITIES,MINORITY INT. IN CONSOL. SUBSIDIARIE,ACL_AMT,OTHER BORROWED MONEY,SUBORDINATED NOTES AND DEBENTURES,TOTAL EQUITY CAPITAL,COMMON STOCK,"TOT LIAB, RESERVE & CAPITAL ACCOUNTS",TOTAL TRADING ASSETS,TRADING LIABILITES,UNDIVIDED PROFITS & CAPITAL RESERVES,DIRECT INDIRECT INV IN RE,PERPETUAL PREFERRED STK&REL SURPLUS,SURPLUS,LOANS AND LEASES HELD FOR SALE,AUDIT INDICATOR,OTHER COMPONENTS OF EQUITY CAPITAL,"LOANS & LEASES, NET UNEARNED INCOME","LOANS & LEASES, NET UNEARN INC&ALLOW",ACCUMULATED OTH COMPREHENSIVE INCOME,SECURS PURCHSD UDR AGRMNTS TO RESELL,SECURS SOLD UNDR AGRMNTS TO REPURCH,TOT EQT CAP INC NONCTRL MINORITY INT,Equity securities with readily deter,Held to maturity securities (ASU 201,TOTAL DEPOSITS,NON-INTEREST BEARING DEPOSITS,TOT INT BEAR DEPS IN DOM&FGN OFF,INT-BEARING BALS DUE FRM DEP INSTS,NONINTEREST-BEARING BALS&CURR&COIN,AVAILABLE-FOR-SALE SECURITIES,INVEST. IN UNCONSOLIDATED SUBS & CO.,INTANGIBLE ASSETS,PREMISES&FIXED ASSETS(INCL ROU),OTHER REAL ESTATE OWNED,OTHER ASSETS,TOTAL ASSETS,TOTAL DEPOSITS,"OTHER LIABILITIES, TOTAL",TOTAL LIABILITIES,MINORITY INT. IN CONSOL. SUBSIDIARIE,ACL_AMT,OTHER BORROWED MONEY,SUBORDINATED NOTES AND DEBENTURES,TOTAL EQUITY CAPITAL,COMMON STOCK,"TOT LIAB, RESERVE & CAPITAL ACCOUNTS",TOTAL TRADING ASSETS,TRADING LIABILITES,UNDIVIDED PROFITS & CAPITAL RESERVES,DIRECT INDIRECT INV IN RE,PERPETUAL PREFERRED STK&REL SURPLUS,SURPLUS,LOANS AND LEASES HELD FOR SALE,NON-INTEREST BEARING DEPOSITS,TOT INT BEAR DEPS IN DOM&FGN OFF,AUDIT INDICATOR,FISCAL YEAR END,OTHER COMPONENTS OF EQUITY CAPITAL,"LOANS & LEASES, NET UNEARNED INCOME","LOANS & LEASES, NET UNEARN INC&ALLOW",ACCUMULATED OTH COMPREHENSIVE INCOME,FEDERAL FNDS SOLD,SECURS PURCHSD UDR AGRMNTS TO RESELL,FEDERAL FNDS PURCD IN DOMESTIC OFFCS,SECURS SOLD UNDR AGRMNTS TO REPURCH,TOT EQT CAP INC NONCTRL MINORITY INT,Equity securities with readily deter,Held to maturity securities (ASU 201,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4629,1711,47074,0,0,262,0,3067,78377,66016,236,66252,0,931,0,0,12125,1200,78377,0,0,12440,0,0,3500,0,20407,45609,,,0,22565,21634,-5015,0,0,0,0,12125,0,0,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,1043,18564,0,0,505,0,581,56012,49234,103,52237,0,184,2900,0,3775,120,56012,0,0,5559,0,0,120,0,13336,35898,,,0,30199,30015,-2024,3204,0,0,0,3775,0,0,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7808,6682,89554,0,441,12057,480,15664,450758,333698,4210,409120,0,2975,71212,0,41638,1,450758,0,0,30172,0,0,16334,0,52024,281674,,,0,271659,268684,-4869,25540,0,0,0,41638,0,23848,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,1365,1712,0,0,4890,0,2014,91970,77456,459,82682,0,567,4767,0,9288,100,91970,0,0,-1217,0,0,10417,274,31664,45792,,,0,72582,72015,-12,9173,0,0,0,9288,0,0,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993,805,962,0,0,798,97,1413,82000,64564,301,75315,0,861,10450,0,6685,60,82000,0,0,2730,0,0,3940,0,11737,52827,,,0,77376,76515,-45,404,0,0,0,6685,13,0,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12364,8972,68788,0,1687,9949,0,23791,858420,703418,9899,790967,54,8416,77300,0,67399,6480,858420,0,0,44142,0,0,18403,0,145747,557671,,,0,741285,732869,-1626,0,0,350,0,67453,0,0,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12950,10813,69960,0,9250,7369,0,13296,504331,451189,2990,454179,0,6247,0,0,50152,1600,504331,0,0,30528,0,0,23696,431,60626,390563,,,0,386509,380262,-5672,0,0,0,0,50152,0,0,
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5423,4030,10845,0,0,4050,309,2579,216459,184486,1492,185978,0,1240,0,0,30481,240,216459,0,0,30311,0,0,530,0,26848,157638,,,0,121917,120677,-600,0,0,0,0,30481,0,68546,
1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38047,8836,424009,0,0,3669,0,17419,971866,892676,5170,897846,0,5623,0,0,74020,1000,971866,0,0,137336,0,0,1214,2209,312433,580243,,,0,483153,477530,-65530,0,0,0,0,74020,147,0,
