IDRSSD,RCFD0010,RCFD0022,RCFD0070,RCFD0082,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,
,CASH AND DUE FROM DEPOSITORIES,CASH & CASH ITEMS IN PROCESS OF COLL,BALANCES WITH BKS IN FGN COUNTRIES,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,CASH AND DUE FROM DEPOSITORIES,CASH ITEMS IN PROCESS OF COLLECTION,BALANCES WITH BKS IN FGN COUNTRIES,CURR&COIN (U.S. & FGN) VAULT CASH,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,
37,,,,,,,,,,,,
242,,,,,,,,,,,,
279,,,,,,,,,,,,
354,,,,,,,,,,,,
457,,,,,,,,,,,,
505,,,,,,,,,,,,
1155,,,,,,,,,,,,
1351,,,,,,,,,,,,
1454,,,,,,,,,,,,
1669,,,,,,,,,,,,
1856,,,,,,,,,,,,
2161,,,,,,,,,,,,
2732,,,,,,,,,,,,
2750,,,,,,,,,,,,
3252,,,,,,,,,,,,
3458,,,,,,,,,,,,
3720,,,,,,,,,,,,
3971,,,,,,,,,,,,
4156,,,,,,,,,,,,
4231,,,,,,,,,,,,
5069,,,,,,,,,,,,
5135,,,,,,,,,,,,
5210,,,,,,,,,,,,
5461,,,,,,,,,,,,
5751,,,,,,,,,,,,
6039,,,,,,52816,0,0,3833,29666,19317,
6329,,,,,,142492,123,0,16227,9434,116708,
7009,,,,,,,,,,,,
7045,,,,,,,,,,,,
7072,,,,,,,,,,,,
7456,,,,,,,,,,,,
7634,,,,,,,,,,,,
8462,,,,,,,,,,,,
8631,,,,,,,,,,,,
9357,,,,,,,,,,,,
9553,,,,,,,,,,,,
9807,,,,,,68754,7251,0,5329,6478,49696,
9955,,,,,,,,,,,,
10250,,,,,,,,,,,,
10849,,,,,,,,,,,,
11145,,,,,,15496,11,0,2680,5324,7481,
11640,,,,,,,,,,,,
11837,,,,,,,,,,,,
12030,,,,,,,,,,,,
