IDRSSD,RCFD0211,RCFD0213,RCFD0416,RCFD1286,RCFD1287,RCFD1737,RCFD1738,RCFD1739,RCFD1741,RCFD1742,RCFD1743,RCFD1744,RCFD1746,RCFD1754,RCFD1771,RCFD1772,RCFD1773,RCFD1778,RCFD8496,RCFD8497,RCFD8498,RCFD8499,RCFD8782,RCFD8783,RCFDA248,RCFDA549,RCFDA550,RCFDA551,RCFDA552,RCFDA553,RCFDA554,RCFDA555,RCFDA556,RCFDA557,RCFDA558,RCFDA559,RCFDA560,RCFDA561,RCFDA562,RCFDB838,RCFDB839,RCFDB840,RCFDB841,RCFDB842,RCFDB843,RCFDB844,RCFDB845,RCFDB846,RCFDB847,RCFDB848,RCFDB849,RCFDB850,RCFDB851,RCFDB852,RCFDB853,RCFDB854,RCFDB855,RCFDB856,RCFDB857,RCFDB858,RCFDB859,RCFDB860,RCFDB861,RCFDC026,RCFDC027,RCFDC988,RCFDC989,RCFDG300,RCFDG301,RCFDG302,RCFDG303,RCFDG304,RCFDG305,RCFDG306,RCFDG307,RCFDG308,RCFDG309,RCFDG310,RCFDG311,RCFDG312,RCFDG313,RCFDG314,RCFDG315,RCFDG316,RCFDG317,RCFDG318,RCFDG319,RCFDG320,RCFDG321,RCFDG322,RCFDG323,RCFDG348,RCFDG349,RCFDG350,RCFDG351,RCFDG352,RCFDG353,RCFDG354,RCFDG355,RCFDG356,RCFDG357,RCFDG358,RCFDG359,RCFDG360,RCFDG361,RCFDG362,RCFDG363,RCFDG364,RCFDG365,RCFDG366,RCFDG367,RCFDG368,RCFDG369,RCFDG370,RCFDG371,RCFDG372,RCFDG373,RCFDG374,RCFDG375,RCFDHT50,RCFDHT51,RCFDHT52,RCFDHT53,RCFDHT58,RCFDHT59,RCFDHT60,RCFDHT61,RCFDK142,RCFDK143,RCFDK144,RCFDK145,RCFDK146,RCFDK147,RCFDK148,RCFDK149,RCFDK150,RCFDK151,RCFDK152,RCFDK153,RCFDK154,RCFDK155,RCFDK156,RCFDK157,RCFDMG95,RCON0211,RCON0213,RCON0416,RCON1286,RCON1287,RCON1737,RCON1738,RCON1739,RCON1741,RCON1742,RCON1743,RCON1744,RCON1746,RCON1754,RCON1771,RCON1772,RCON1773,RCON1778,RCON8496,RCON8497,RCON8498,RCON8499,RCON8782,RCON8783,RCONA248,RCONA549,RCONA550,RCONA551,RCONA552,RCONA553,RCONA554,RCONA555,RCONA556,RCONA557,RCONA558,RCONA559,RCONA560,RCONA561,RCONA562,RCONB838,RCONB839,RCONB840,RCONB841,RCONB842,RCONB843,RCONB844,RCONB845,RCONB846,RCONB847,RCONB848,RCONB849,RCONB850,RCONB851,RCONB852,RCONB853,RCONB854,RCONB855,RCONB856,RCONB857,RCONB858,RCONB859,RCONB860,RCONB861,RCONC026,RCONC027,RCONC988,RCONC989,RCONG300,RCONG301,RCONG302,RCONG303,RCONG304,RCONG305,RCONG306,RCONG307,RCONG308,RCONG309,RCONG310,RCONG311,RCONG312,RCONG313,RCONG314,RCONG315,RCONG316,RCONG317,RCONG318,RCONG319,RCONG320,RCONG321,RCONG322,RCONG323,RCONG348,RCONG349,RCONG350,RCONG351,RCONG352,
,US TREAS SECS-HLD-TO-MAT-AMRTZ COST,US TREAS SECS-HLD-TO-MAT-FAIR VALUE,PLEDGED SECURITIES-BOOK VLAUE,US TREAS SECS-AVL-FOR-SLE-AMRTZ COST,US TREAS SECS-AVL-FOR-SLE-FAIR VALUE,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI,FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS,FGN DEBT SECS-HELD-TO-MATR-FAIR VALU,FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS,FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU,HELD-TO-MATURITY SECURITIES,TOTL SECS-HELD-TO-MATRTY-FAIR VALUE,TOTL SECS-AVL-FOR-SALE-AMRTZ COST,AVAILABLE-FOR-SALE SECURITIES,AMRTZ COST OF HLD-TO-MAT SECS SOLD,SECS ISSD BY US ST&POL SUBDYS-AMRTZ,SECS ISSD BY US ST&POL SUBDYS-FAIR,SECS ISSD BY US ST&POL SUBDYS-AMRTZ,SECS ISSD BY US ST&POL SUBDYS-FAIR,AMORTIZED COST OF STRUCTURED NOTES,FAIR VALUE OF STRUCTURED NOTES,FXD&FLTG RT DEBT SECS MAT 1 YR OR LE,"SECS ISD BY US TREAS,ETC 3 MOS LESS","SECS ISD BY US TREAS,ETC OV 3-12 MOS","SECS ISD BY US TREAS,ETC OV 1-3 YRS","SECS ISD BY US TREAS,ETC OV 3-5 YRS","SECS ISD BY US TREAS,ETC OV 5-15 YRS","SECS ISD BY US TREAS,ETC OVER 15 YRS",MTGE PASS-THRU SECS MAT 3 MONTHS LES,MTGE PASS-THRU SECS MAT OV 3-12 MTHS,MTGE PASS-THRU SECS MAT OV 1 - 3 YRS,MTGE PASS-THRU SECS MAT OV 3 - 5 YRS,MTGE PASS-THRU SECS MAT OV 5 - 15 YR,MTGE PASS-THRU SECS MAT OVER 15 YEAR,OTHER MTG-BCKD SECS 3 YEARS OR LESS,OTHER MTG-BCKD SECS OVER 3 YEARS,HTM(COST): ABS - CREDIT CARD RECEIV,HTM(FAIR): ABS - CREDIT CARD RECEIV,AFS(COST): ABS - CREDIT CARD RECEIV,AFS(FAIR): ABS - CREDIT CARD RECEIV,HTM(COST): ABS - HOME EQUITY LINES,HTM(FAIR): ABS - HOME EQUITY LINES,AFS(COST): ABS - HOME EQUITY LINES,AFS(FAIR): ABS - HOME EQUITY LINES,HTM(COST): ABS - AUTOMOBILE LOANS,HTM(FAIR): ABS - AUTOMOBILE LOANS,AFS(COST): ABS - AUTOMOBILE LOANS,AFS(FAIR): ABS - AUTOMOBILE LOANS,HTM(COST): ABS- OTHER CONSUMER LOANS,HTM(FAIR): ABS- OTHER CONSUMER LOANS,AFS(COST): ABS- OTHER CONSUMER LOANS,AFS(FAIR): ABS- OTHER CONSUMER LOANS,HTM(COST): ABS- COMMRCIAL &IND LOANS,HTM(FAIR): ABS- COMMRCIAL &IND LOANS,AFS(COST): ABS- COMMRCIAL &IND LOANS,AFS(FAIR): ABS- COMMRCIAL &IND LOANS,HTM(COST): ASSET BACKED SEC - OTHER,HTM(FAIR): ASSET BACKED SEC - OTHER,AFS(COST): ASSET BACKED SEC - OTHER,AFS(FAIR): ASSET BACKED SEC - OTHER,HTM(COST):TOTL ASSET-BACK SEC - DERV,AFS(FAIR):TOTL ASSET-BACK SEC -DERV,ASSET-BACKED SECURITIES: HTM-FAIR VA,ASSET-BACKED SECURITIES:AFS-AMTZD CO,MBS RPTS GUAR GNMA HTM AMRTZ,MBS RPTS GUAR GNMA HTM FV,MBS RPTS GUAR GNMA AFS AMRTZ,MBS RPTS GUAR GNMA AFS FV,MBS RPTS ISS FNMA FHLMC HTM AMRTZ,MBS RPTS ISS FNMA FHLMC HTM FV,MBS RPTS ISS FNMA FHLMC AFS AMRTZ,MBS RPTS ISS FNMA FHLMC AFS FV,MBS RPTS OTHR PT SCTY HTM AMRTZ COST,MBS RPTS OTHR PT SCTY HTM FV,MBS RPTS OTHR PT SCTY AFS AMRTZ COST,MBS RPTS OTHR PT SCTY AFS FV,MBS OTHR RES ISS GUAR FFG HTM AMRTZ,MBS OTHR RES ISS GUAR FFG HTM FV,MBS OTHR RES ISS GUAR FFG AFS AMRTZ,MBS OTHR RES ISS GUAR FFG AFS FV,MBS OTHR RES CLTRL ISS GUAR FFG HTM,MBS OTHR RES CLTRL ISS GUAR FFG H FV,MBS OTHR RES CLTRL ISS GUAR FFG AFS,MBS OTHR CLTRL MBS ISS GUAR FFG A FV,MBS OTHR OTHR RES MBS HTM AMRTZ,MBS OTHR OTHR RES MBS HTM FV,MBS OTHR OTHR RES MBS AFS AMRTZ,MBS OTHR OTHR RES MBS AFS FV,SFP TPS ISS FNC INST HTM AMRTZ COST,SFP TPS ISS FNC INST HTM FV,SFP TPS ISS FNC INST AFS AMRTZ COST,SFP TPS ISS FNC INST AFS FV,SFP TPS ISS RE INV TR HTM AMRTZ COST,SFP TPS ISS RE INV TRS HTM FV,SFP TPS ISS RE INV TR AFS AMRTZ COST,SFP TPS ISS RE INV TR AFS FV,SFP CORP & SIMILAR LN HTM AMRTZ COST,SFP CORP & SIMILAR LN HTM FV,SFP CORP & SIMILAR LN AFS AMRTZ COST,SFP CORP & SIMILAR LN AFS FV,SFP 1T4 RES MBS I OR G GSE HTM AMRTZ,SFP 1T4 RES MBS I OR G GSE HTM FV,SFP 1T4 RES MBS I OR G GSE AFS AMRTZ,SFP 1T4 RES MBS I OR G GSE AFS FV,SFP 1T4 MBS N I OR G GSE HTM AMRTZ,SFP 1T4 RES MBS N I OR G GSE HTM FV,SFP 1T4 MBS N I OR G GSE AFS AMRTZ,SFP 1T4 RES MBS N I OR G GSE AFS FV,SFP DVRS (MIXED) POOLS SFP HTM AMRTZ,SFP DVRS (MIXED) POOLS SFP HTM FV,SFP DVRS (MIXED) POOLS SFP AFS AMRTZ,SFP DVRS (MIXED) POOLS SFP AFS FV,SFP OTHR CLTRL REF ASSET HTM AMRTZ,SFP OTHR CLTRL REF ASSET HTM FV,SFP OTHR CLTRL REF ASSET AFS AMRTZ,SFP OTHR CLTRL REF ASSET AFS FV,US government agency obligations (ex,US government agency obligations (ex,US government agency obligations (ex,US government agency obligations (ex,Asset-backed securities and structur,Asset-backed securities and structur,Asset-backed securities and structur,Asset-backed securities and structur,MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ,MBS CMRL PT SCTY GUAR FNMA HTM FV,MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ,MBS CMRL PT SCTY GUAR FNMA AFS FV,MBS CMRL PT SCTY OTHR HTM AMTRZ,MBS CMRL PT SCTY OTHR HTM FV,MBS CMRL PT SCTY OTHR AFS AMTRZ,MBS CMRL PT SCTY OTHR AFS FV,MBS CMRL OTHR CMRL GUAR FNMA HTM AMT,MBS CMRL OTHR CMRL GUAR FNMA HTM FV,MBS CMRL OTHR CMRL GUAR FNMA AFS AMT,MBS CMRL OTHR CMRL GUAR FNMA AFS FV,MBS CMRL OTHR CMRL OTHR CMRL HTM AMT,MBS CMRL OTHR CMRL OTHR CMRL HTM FV,MBS CMRL OTHR CMRL OTHR CMRL AFS AMT,MBS CMRL OTHR CMRL OTHR CMRL AFS FV,Amortized cost of available-for-sale,US TREAS SECS-HLD-TO-MAT-AMRTZ COST,US TREAS SECS-HLD-TO-MAT-FAIR VALUE,PLEDGED SECURITIES-BOOK VLAUE,US TREAS SECS-AVL-FOR-SLE-AMRTZ COST,US TREAS SECS-AVL-FOR-SLE-FAIR VALUE,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI,FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS,FGN DEBT SECS-HELD-TO-MATR-FAIR VALU,FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS,FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU,HELD-TO-MATURITY SECURITIES,TOTL SECS-HELD-TO-MATRTY-FAIR VALUE,TOTL SECS-AVL-FOR-SALE-AMRTZ COST,AVAILABLE-FOR-SALE SECURITIES,AMRTZ COST OF HLD-TO-MAT SECS SOLD,SECS ISSD BY US ST&POL SUBDYS-AMRTZ,SECS ISSD BY US ST&POL SUBDYS-FAIR,SECS ISSD BY US ST&POL SUBDYS-AMRTZ,SECS ISSD BY US ST&POL SUBDYS-FAIR,AMORTIZED COST OF STRUCTURED NOTES,FAIR VALUE OF STRUCTURED NOTES,FXD&FLTG RT DEBT SECS MAT 1 YR OR LE,"SECS ISD BY US TREAS,ETC 3 MOS LESS","SECS ISD BY US TREAS,ETC OV 3-12 MOS","SECS ISD BY US TREAS,ETC OV 1-3 YRS","SECS ISD BY US TREAS,ETC OV 3-5 YRS","SECS ISD BY US TREAS,ETC OV 5-15 YRS","SECS ISD BY US TREAS,ETC OVER 15 YRS",MTGE PASS-THRU SECS MAT 3 MONTHS LES,MTGE PASS-THRU SECS MAT OV 3-12 MTHS,MTGE PASS-THRU SECS MAT OV 1 - 3 YRS,MTGE PASS-THRU SECS MAT OV 3 - 5 YRS,MTGE PASS-THRU SECS MAT OV 5 - 15 YR,MTGE PASS-THRU SECS MAT OVER 15 YEAR,OTHER MTG-BCKD SECS 3 YEARS OR LESS,OTHER MTG-BCKD SECS OVER 3 YEARS,HTM(COST): ABS - CREDIT CARD RECEIV,HTM(FAIR): ABS - CREDIT CARD RECEIV,AFS(COST): ABS - CREDIT CARD RECEIV,AFS(FAIR): ABS - CREDIT CARD RECEIV,HTM(COST): ABS - HOME EQUITY LINES,HTM(FAIR): ABS - HOME EQUITY LINES,AFS(COST): ABS - HOME EQUITY LINES,AFS(FAIR): ABS - HOME EQUITY LINES,HTM(COST): ABS - AUTOMOBILE LOANS,HTM(FAIR): ABS - AUTOMOBILE LOANS,AFS(COST): ABS - AUTOMOBILE LOANS,AFS(FAIR): ABS - AUTOMOBILE LOANS,HTM(COST): ABS- OTHER CONSUMER LOANS,HTM(FAIR): ABS- OTHER CONSUMER LOANS,AFS(COST): ABS- OTHER CONSUMER LOANS,AFS(FAIR): ABS- OTHER CONSUMER LOANS,HTM(COST): ABS- COMMRCIAL &IND LOANS,HTM(FAIR): ABS- COMMRCIAL &IND LOANS,AFS(COST): ABS- COMMRCIAL &IND LOANS,AFS(FAIR): ABS- COMMRCIAL &IND LOANS,HTM(COST): ASSET BACKED SEC - OTHER,HTM(FAIR): ASSET BACKED SEC - OTHER,AFS(COST): ASSET BACKED SEC - OTHER,AFS(FAIR): ASSET BACKED SEC - OTHER,HTM(COST):TOTL ASSET-BACK SEC - DERV,AFS(FAIR):TOTL ASSET-BACK SEC -DERV,ASSET-BACKED SECURITIES: HTM-FAIR VA,ASSET-BACKED SECURITIES:AFS-AMTZD CO,MBS RPTS GUAR GNMA HTM AMRTZ,MBS RPTS GUAR GNMA HTM FV,MBS RPTS GUAR GNMA AFS AMRTZ,MBS RPTS GUAR GNMA AFS FV,MBS RPTS ISS FNMA FHLMC HTM AMRTZ,MBS RPTS ISS FNMA FHLMC HTM FV,MBS RPTS ISS FNMA FHLMC AFS AMRTZ,MBS RPTS ISS FNMA FHLMC AFS FV,MBS RPTS OTHR PT SCTY HTM AMRTZ COST,MBS RPTS OTHR PT SCTY HTM FV,MBS RPTS OTHR PT SCTY AFS AMRTZ COST,MBS RPTS OTHR PT SCTY AFS FV,MBS OTHR RES ISS GUAR FFG HTM AMRTZ,MBS OTHR RES ISS GUAR FFG HTM FV,MBS OTHR RES ISS GUAR FFG AFS AMRTZ,MBS OTHR RES ISS GUAR FFG AFS FV,MBS OTHR RES CLTRL ISS GUAR FFG HTM,MBS OTHR RES CLTRL ISS GUAR FFG H FV,MBS OTHR RES CLTRL ISS GUAR FFG AFS,MBS OTHR CLTRL MBS ISS GUAR FFG A FV,MBS OTHR OTHR RES MBS HTM AMRTZ,MBS OTHR OTHR RES MBS HTM FV,MBS OTHR OTHR RES MBS AFS AMRTZ,MBS OTHR OTHR RES MBS AFS FV,SFP TPS ISS FNC INST HTM AMRTZ COST,SFP TPS ISS FNC INST HTM FV,SFP TPS ISS FNC INST AFS AMRTZ COST,SFP TPS ISS FNC INST AFS FV,SFP TPS ISS RE INV TR HTM AMRTZ COST,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19706,0,0,0,0,0,0,0,0,0,0,0,0,53810,47074,0,0,0,42006,37371,983,774,992,495,497,884,0,29277,10989,0,0,0,0,663,4269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4570,3586,3297,0,0,528,503,0,0,0,0,0,0,20588,18564,0,0,0,9997,8798,450,395,2970,296,2674,5123,3281,7190,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16193,0,0,0,0,7343,6032,0,0,0,0,23848,21253,95718,89554,0,1579,1553,15172,13302,0,0,0,2067,0,3883,3544,8122,5363,16863,0,313,447,14534,13111,25212,19943,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,9392,7660,0,0,0,0,0,0,23091,22908,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,699,593,588,0,0,0,0,0,0,0,0,0,0,1727,1712,0,0,0,0,0,500,496,0,0,0,932,498,251,0,0,0,0,0,32,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1007,962,0,0,0,0,0,0,0,0,0,0,1007,962,0,0,0,0,0,0,0,0,494,468,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,61827,9897,9886,0,0,6963,6900,0,0,0,0,0,0,70140,68788,0,0,0,9808,9214,0,0,7900,4387,5911,1988,1575,12139,0,5,100,28,6,32439,10149,0,61,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,61,,,,,,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,46773,4082,4066,0,0,2000,1666,0,0,0,0,0,0,75632,69960,0,0,0,50146,45256,950,906,2567,3883,1898,11638,9888,28153,7971,988,0,0,0,0,3192,689,1660,,,,,,,,,,,,,,,,,,,,,,,,,0,2345,0,2363,,,,,,,,,0,0,0,0,0,0,1890,1861,0,0,0,0,0,0,0,0,,,,,,
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,39141,0,0,0,0,0,0,0,0,0,0,68546,63473,11445,10845,0,10061,9704,0,0,500,493,7496,2490,5006,45251,22201,3687,0,0,0,0,0,661,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,101,94,0,0,0,0,0,0,0,0,,,,,,
1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,97263,25947,24883,0,0,0,0,0,0,0,0,0,0,489539,424009,0,0,0,141219,119514,0,0,34242,3971,30270,73658,48058,115022,8686,0,0,0,0,56366,67864,223,19896,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,24143,20119,0,0,0,0,0,0,0,0,,,,,,
