IDRSSD,RCFD1410,RCFD1420,RCFD1460,RCFD1563,RCFD1590,RCFD1763,RCFD1764,RCFD1797,RCFD2081,RCFD2107,RCFD2122,RCFD2123,RCFD2746,RCFD5367,RCFD5368,RCFDA247,RCFDA570,RCFDA571,RCFDA572,RCFDA573,RCFDA574,RCFDA575,RCFDB532,RCFDB533,RCFDB534,RCFDB536,RCFDB537,RCFDB538,RCFDB539,RCFDB837,RCFDC391,RCFDF158,RCFDF159,RCFDF160,RCFDF161,RCFDF162,RCFDF163,RCFDG091,RCFDG092,RCFDG093,RCFDG094,RCFDG095,RCFDG096,RCFDG097,RCFDG098,RCFDG099,RCFDG100,RCFDG101,RCFDG102,RCFDG378,RCFDHK25,RCFDK098,RCFDK137,RCFDK163,RCFDK164,RCFDK165,RCFDK168,RCFDK203,RCFDK204,RCFDK207,RCON1288,RCON1420,RCON1460,RCON1545,RCON1590,RCON1763,RCON1764,RCON1766,RCON1797,RCON2081,RCON2107,RCON2122,RCON2123,RCON2165,RCON2746,RCON5367,RCON5368,RCON5370,RCONA247,RCONA564,RCONA565,RCONA566,RCONA567,RCONA568,RCONA569,RCONA570,RCONA571,RCONA572,RCONA573,RCONA574,RCONA575,RCONB531,RCONB534,RCONB535,RCONB538,RCONB539,RCONB837,RCONC391,RCONF158,RCONF159,RCONF160,RCONF161,RCONF162,RCONF163,RCONF230,RCONF231,RCONF232,RCONF576,RCONF577,RCONG091,RCONG092,RCONG093,RCONG094,RCONG095,RCONG096,RCONG097,RCONG098,RCONG099,RCONG100,RCONG101,RCONG102,RCONG376,RCONG378,RCONGW45,RCONGW46,RCONGW47,RCONHK25,RCONJ451,RCONJ454,RCONJ464,RCONK098,RCONK137,RCONK158,RCONK159,RCONK160,RCONK161,RCONK162,RCONK163,RCONK164,RCONK165,RCONK166,RCONK168,RCONK203,RCONK204,RCONK207,RCONK256,RCONLE75,RCONLG24,RCONLG25,RCONPR04,RCONPR05,RCONPR06,RIADG377,
,"REAL ESTATE LOANS, TOTAL",R.E. LOANS-FARMLAND,R.E. LOANS MULTI-FAMILY,OTHER LOANS,LOANS TO FINANCE AGRICULTURAL PROD,"C&I LOANS, U.S. ADDRESSEES","C&I LOANS, NON-U.S. ADDRESSEES","REVOLVING, OPEN-END LNS SECD BY 1-4F",LNS TO FGN GOVTS & OFFICIAL INST,OBLGS OF ST&POLITICAL SUBDVS IN U.S.,TOT LNS&LEASE LESS UNEARN INC ON LNS,UNEARNED INCOME ON LOANS,"LNS TO FINC COMMCL RE,CONSTRC&LD DEV",ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN,ALL OTH LNS SECD BY 1-4FMLY-JR LIENS,FXD&FLTG RT LNS&LEASES MAT 1 YR OR L,OTHER LNS&LEASES MAT 3 MONTHS OR LES,OTHER LNS&LEASES MAT OVER 3-12 MONTH,OTHER LNS&LEASES MAT OVR 1 - 3 YRS,OTHER LNS&LEASES MAT OVR 3 - 5 YRS,OTHER LNS&LEASES MAT OVR 5 - 15 YRS,OTHER LNS&LEASES MATURITY OVER 15 YR,LNS TO U.S. BRNCHES&AGNCIES FRGN BKS,LNS TO OTHER COMMRCL BKS IN THE U.S.,LNS TO OTH DEPSTRY INSTITNS IN U.S.,LNS TO FRGN BRNCHES OF OTH U.S. BNKS,LNS TO OTH BNKS IN FOREIGN COUNTRIES,CREDIT CARDS LOANS,OTHER REVOLVING CREDIT PLAN LOANS,LNS SEC BY REAL ESTATE NON-US,OTSTDNG CRED CD FEES & FIN CHGS,LN SECURED BY 1-4 FAM RES CONSTRUCTI,LN SECURED BY OTHR CNSTRCTN LN & LA ,LN SECURED BY OWNER OCCPD NONFARM NO,LN SECURED BY OTHR NONFARM NONRES PR,"LEASE TO INDVDL FOR HSEHLD, FMLY & P",ALL OTHR LEASE FINANCING RECEIVABLES,FV LN LEASE ACQUISITION LN SCTY BY R,GROSS CONTRACT RCVBL LN SCTY BY RE,BEST EST AT ACQUISITION DT LN SCTY B,FV LN LEASE ACQUISITION CMRL AND IND,GROSS CONTRACT RCVBL CMRL AND IND LN,BEST EST AT ACQUISITION DT CMRL IND ,FV LN LEASE ACQUISITION LN TO IND HH,GROSS CONTRACT RCVBL LN TO IND HH FM,BEST EST AT ACQUISITION DT LN TO IND,FV LN LEASE ACQUISITION ALL OTHR,GROSS CONTRACT RCVBL ALL OTHR LN LEA,BEST EST AT ACQUISITION DT ALL OTHR ,PLDG LN AND LEASE,TOTAL LN MOD FIN DFCLTY,LN MOD FIN DFCLTY HOUSE FAMILY CREDI,LN TO IND HH OTHR AUTO LN,LN MOD FIN DFCLTY CMRL US ADR,LN MOD FIN DFCLTY CMRL NONUS ADR,LN MOD FIN DFCLTY ALL OTHR LN,ITEMIZE LN MOD FIN DFCLTY LN FI AGRI,LN MOD FIN DFCLTY HOUSE FAMILY AUTO ,LN MOD FIN DFCLTY HOUSE FAMILY OTHR ,LN TO IND HH OTHR AUTO LN,LOANS TO DI'S & ACCEPT OTHR,R.E. LOANS-FARMLAND,R.E. LOANS MULTI-FAMILY,LOANS FOR PURCHASING SECURITIES,LOANS TO FINANCE AGRICULTURAL PROD,"C&I LOANS, U.S. ADDRESSEES","C&I LOANS, NON-U.S. ADDRESSEES",C&I LOANS,"REVOLVING, OPEN-END LNS SECD BY 1-4F",LNS TO FGN GOVTS & OFFICIAL INST,OBLGS OF ST&POLITICAL SUBDVS IN U.S.,TOT LNS&LEASE LESS UNEARN INC ON LNS,UNEARNED INCOME ON LOANS,LEASE FINANCING RECEIVABLES,"LNS TO FINC COMMCL RE,CONSTRC&LD DEV",ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN,ALL OTH LNS SECD BY 1-4FMLY-JR LIENS,ADJTBL RATE CLOSED-END LNS SECD BY 1,FXD&FLTG RT LNS&LEASES MAT 1 YR OR L,CLSD-END LNS SECD 1ST LIENS 3 MOS LE,CLSD-END LNS SECD 1ST LIENS OV3-12 M,CLSD-END LNS SECD 1ST LIENS OV 1-3 Y,CLSD-END LNS SECD 1ST LIENS OV 3-5 Y,CLSD-END LNS SECD 1ST LIENS OVR 15 Y,LOANS SECD BY RE MAT OVER 15 YEARS,OTHER LNS&LEASES MAT 3 MONTHS OR LES,OTHER LNS&LEASES MAT OVER 3-12 MONTH,OTHER LNS&LEASES MAT OVR 1 - 3 YRS,OTHER LNS&LEASES MAT OVR 3 - 5 YRS,OTHER LNS&LEASES MAT OVR 5 - 15 YRS,OTHER LNS&LEASES MATURITY OVER 15 YR,LOANS TO COM BANKS IN THE U.S.-DERV,LNS TO OTH DEPSTRY INSTITNS IN U.S.,LOANS TO BNKS IN FGN COUN - DERIVED,CREDIT CARDS LOANS,OTHER REVOLVING CREDIT PLAN LOANS,LNS SEC BY REAL ESTATE NON-US,OTSTDNG CRED CD FEES & FIN CHGS,LN SECURED BY 1-4 FAM RES CONSTRUCTI,LN SECURED BY OTHR CNSTRCTN LN & LA ,LN SECURED BY OWNER OCCPD NONFARM NO,LN SECURED BY OTHR NONFARM NONRES PR,"LEASE TO INDVDL FOR HSEHLD, FMLY & P",ALL OTHR LEASE FINANCING RECEIVABLES,TOTAL CARRY AMT OF CLS-END LN NEG AM,TOTAL MAX REMAINING NEG AMRTZ PERMIT,TOTAL AMT NEG AMRTZ ON CLS-END LN IN,LN MOD FIN DFCLTY SEC 1-4 RES PROP I,LN SEC 1-4 RES PROP IN PROC OF FCLS,FV LN LEASE ACQUISITION LN SCTY BY R,GROSS CONTRACT RCVBL LN SCTY BY RE,BEST EST AT ACQUISITION DT LN SCTY B,FV LN LEASE ACQUISITION CMRL AND IND,GROSS CONTRACT RCVBL CMRL AND IND LN,BEST EST AT ACQUISITION DT CMRL IND ,FV LN LEASE ACQUISITION LN TO IND HH,GROSS CONTRACT RCVBL LN TO IND HH FM,BEST EST AT ACQUISITION DT LN TO IND,FV LN LEASE ACQUISITION ALL OTHR,GROSS CONTRACT RCVBL ALL OTHR LN LEA,BEST EST AT ACQUISITION DT ALL OTHR ,CNSTRCTN DEV & OTHR AMT LN INT RSRV,PLDG LN AND LEASE,FV LN LEASE ACQUISITION,GROSS CONTRACT RCVBL,BEST EST AT ACQUISITION DT,TOTAL LN MOD FIN DFCLTY,ALL OTHR LN (EXCLUDE CONSUMER LN),LN NDEP FNCL INST,OTHER LOANS,LN MOD FIN DFCLTY HOUSE FAMILY CREDI,LN TO IND HH OTHR AUTO LN,LN MOD FIN DFCLTY CNST LAND DEV 1-4 ,LN MOD FIN DFCLTY CNST LAND DEV OTHR,LN MOD FIN DFCLTY CNST LAND DEV MULT,LN MOD FIN DFCLTY LAND DEV NFARM NRE,LN MOD FIN DFCLTY LAND DEV NFARM NRE,LN MOD FIN DFCLTY CMRL US ADR,LN MOD FIN DFCLTY CMRL NONUS ADR,LN MOD FIN DFCLTY ALL OTHR LN,ITEMIZE LN MOD FIN DFCLTY LN SCD FAR,ITEMIZE LN MOD FIN DFCLTY LN FI AGRI,LN MOD FIN DFCLTY HOUSE FAMILY AUTO ,LN MOD FIN DFCLTY HOUSE FAMILY OTHR ,LN TO IND HH OTHR AUTO LN,LN MOD FIN DFCLTY CMRL,"Revolving, open-end lines of credit",Number of outstanding Section 4013 l,Outstanding balance of Section 4013,Reverse mortgages outstanding that a,Estimated number of reverse mortgage,Principal amount of reverse mortgage,CNSTRCTN DEV & OTHR AMT INT CAP,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,840,0,,117,,,2654,50,,3701,22566,0,0,0,8357,0,0,6456,721,468,2144,3659,1364,0,740,4566,3799,4015,999,0,,,,0,0,,,0,381,403,109,,,0,,,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,38,0,1867,0,0,0,0,0,,,0,0,,0,0,4049,0,0,CONF,CONF,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3009,0,,1486,,,2223,0,,587,30199,0,0,0,12948,268,28,12531,332,1755,4069,4596,2177,0,7578,2866,2210,3094,1033,470,,,,0,0,,,0,0,0,5349,,,0,,,0,0,,,,,,,,,,,,,,12948,0,0,0,0,,0,15,0,2592,0,0,0,0,0,,,0,0,,0,0,1722,0,0,CONF,CONF,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7453,10518,,131,,,7024,0,,8651,271659,0,1342,0,140717,4546,1912,58968,151,581,3782,5503,21259,108933,47310,24141,12392,17725,18731,9956,,,,0,0,,,20484,22764,12851,29861,,,0,,,0,0,,,,,,,,,,,,,,71212,0,0,0,0,,0,100,0,921,0,0,0,0,0,,,0,0,0,0,0,4296,0,0,CONF,CONF,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2577,553,,592,,,3440,2054,,0,72856,0,0,0,26148,289,1030,11238,1012,232,1522,5127,1946,16309,11564,12230,6793,12832,2802,487,,,,413,242,,,3821,1803,1352,17430,,,0,,,0,0,,,,,,,,,,,,,,60731,0,0,0,0,,0,4,0,231,0,0,0,0,0,,,0,0,,0,0,11907,0,0,CONF,CONF,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5348,2394,,7467,,,11621,898,,1953,77376,0,0,0,25314,2562,110,19384,85,2614,10927,8173,3059,230,5272,11595,15198,11798,6969,883,,,,0,0,,,1605,2857,3463,6112,,,0,,,27,0,,,,,,,,,,,,,,40759,0,0,0,27,,0,88,0,3044,0,0,0,0,0,,,0,0,0,0,0,2650,0,0,CONF,CONF,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,119653,,0,,,24298,14880,,11641,741284,0,92,6394,304027,3533,92834,31555,352,2444,2816,21465,125950,150280,75982,15023,47924,94899,165590,37777,,,,0,272,,,10085,14239,60842,125433,,,0,,,234,163,,,,,,,,,,,,,,282568,0,0,0,234,,210,18,0,8030,0,0,0,0,0,,,0,0,0,0,0,44031,0,3752,CONF,CONF,,,,,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30492,15236,,15004,,,66511,7619,,6947,386940,0,0,0,94251,8638,152,87735,2074,10250,26368,43371,9888,2151,52113,28408,93931,91442,25903,635,,,,481,104,,,9504,32976,63659,20448,,,0,,,0,0,,,,,,,,,,,,,,179916,0,0,0,0,,0,9189,0,2609,0,0,0,0,0,,,0,0,0,0,0,3272,0,0,CONF,CONF,,,,,
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13853,0,,5581,,,22537,0,,0,121917,0,0,0,22320,0,22320,79640,2270,9471,3543,6615,421,0,25266,42634,17397,10909,3157,112,,,,0,0,,,377,96,39665,0,,,0,,,606,0,,,,,,,,,,,,,,0,0,0,0,3088,,0,928,0,10279,0,0,0,1195,0,,,1061,5,414,313,0,6281,226,0,CONF,CONF,,,,,
1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21250,9303,6928,,3665,,,84025,14153,,6,485362,1645,1013,8429,103813,2752,12783,61482,7929,1347,660,6964,31194,55718,37220,35365,42194,96324,142766,29271,,,,0,433,,,2540,80559,64147,73632,,,0,,,0,0,,,,,,,,,,,,,,96516,0,0,0,785,,0,1506,0,14246,0,0,0,0,663,,,0,0,0,0,0,3036,122,0,CONF,CONF,,,,,
