IDRSSD,RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,
,OTH NONTRANSACTION SAVINGS DEPOSITS,TOT TRANSACTION ACCTS-US GOVERNMENT,TOT TRANSACT ACCTS-STS&POL SUB IN US,TOTAL DEMAND DEPOSITS,TOT TRANS ACCTS-BKS IN FGN COUNTRIES,TOTAL TRANSACTIONS ACCOUNTS,TOT TRANS ACCTS-FGN GOVTS&OFFCL INST,NONTRANS DPS OF BKS IN FGN COUNTRIES,TOTAL BROKERED DEPOSITS,TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I,TOTAL NONTRANSACTION ACCOUNTS,TOT NONTRANSACTION ACCTS-US GOVT,TOT NONTRANSACTION ACCTS-STS&POL SUB,PREFERRED DEPOSITS,TIME DEPOSITS LT 100000,AMT OUTSTDG IN MONEY MARKET DEP ACCT,IRA AND KEOGH PLAN ACCOUNTS,TRANSACTION ACCTS: IPC DEPOSITS,NONTRANSACTION ACCTS: IPC DEPOSITS,TRANSACTION ACCT: CB'S & DI'S IN U.S,NONTRANSACT ACCT: CB'S & DI'S IN U.S,IRA KEOGH IN MEM ITEM 2.C,SELECTED COMPONENTS OF TOTAL DEPOSIT,SELECTED COMPONENTS OF TOTAL DEPOSIT,MATURITY AND REPRICING DATA FOR TIME,MATURITY AND REPRICING DATA FOR TIME,MATURITY AND REPRICING DATA FOR TIME,MATURITY AND REPRICING DATA FOR TIME,TIME DEPOSITS OF 250000 OR LESS WITH,MATURITY AND REPRICING DATA FOR TIME,MATURITY AND REPRICING DATA FOR TIME,MATURITY AND REPRICING DATA FOR TIME,MATURITY AND REPRICING DATA FOR TIME,TIME DEPOSITS EQ 100K LE 250K,TIME DEPOSITS GT 250K,Total reciprocal deposit,BRKRD DEP GT 250000 MAT LE 1 YR,TIME DEP GT 250000 MAT LE 1 YRDEP,EST DEP LISTING SERVICE NOT BROKERED,"Fully insured, affiliate sweep depos","Fully insured, affiliate, retail swe","Not fully insured, affiliate sweep d","Not fully insured, affiliate, retail","Fully insured, non-affiliate sweep d","Fully insured, non-affiliate, retail","Not fully insured, non-affiliate swe","Not fully insured, non-affiliate, re",Designated exception sweep deposit,OFFR CONSUM DEP ACT INDIV HSHLD FMLY,NONINTR TRN ACCTS INDIV HSHLD FMLY,INTR TRN ACCTS INDIV HSHLD FMLY,MMDA DEPS PRIMRLY INDIV HSHLD FAMLY,OTHR MMDA INDIV PRTNRS CORPS,OTHR SVGS DEPS IND HSHLD FAMILY USE,OTHR SVGS DEPS IND PRTNRS AND CORPS,
37,11118,0,4496,20407,0,29946,0,0,0,0,36070,0,371,,13788,2635,2484,25450,35699,0,0,0,0,0,3808,8520,6834,1464,12328,394,287,276,735,6838,1692,0,0,681,0,0,,0,,0,,0,,0,true,,,,,,,
242,7350,0,1269,12958,0,21592,0,0,0,0,27642,0,4939,,6504,6611,1545,20323,22703,0,0,0,0,0,2494,4231,1311,798,6725,779,3767,301,0,2330,4847,0,0,4546,0,0,,0,,0,,0,,0,true,,,,,,,
279,45388,0,9983,52073,0,124066,0,0,12000,0,209632,0,1393,,33888,44454,14206,114083,208239,0,0,6847,12000,0,20052,46338,16679,8102,66390,6070,17722,4295,532,57283,28619,0,0,23792,0,0,,0,,0,,0,,0,true,,,,,,,
354,2152,0,92,31664,0,31664,0,0,7863,0,45792,0,1363,,1753,6947,494,31572,23032,0,21397,402,7863,2732,3809,11629,8321,10783,15438,1329,823,0,0,32789,2152,0,0,2152,21397,0,,0,,0,,0,,0,true,,,,,,,
457,7643,0,653,11736,0,14304,0,0,0,0,50260,0,7593,,9643,15584,3464,13651,41174,0,1493,1904,0,0,6596,13928,1301,352,20524,2889,1967,0,0,12534,4856,0,0,4856,1493,0,,0,,0,,0,,0,true,,,,,,,
505,98419,18,37109,145747,0,252367,0,0,80618,0,451050,0,48275,,19064,224864,2970,215240,402775,0,0,544,0,0,12237,38416,3725,180,24163,4282,6982,61945,0,35494,73209,46878,66777,11079,0,0,,0,,46376,,0,,46376,false,,,,,,,
1155,738,2,42431,126562,0,332376,0,0,0,0,118813,0,11153,,31835,39706,8986,287207,107660,2736,0,2342,0,0,15384,31573,7233,1006,45029,5670,16925,577,0,23362,23172,55696,0,22299,0,0,,0,,48757,,0,,48757,true,,,,,,,
1351,10117,0,12106,26848,0,49340,0,0,0,0,135146,0,10881,,35769,31081,10209,37234,124265,0,0,5078,0,0,10788,29190,30397,0,39978,2068,11544,9960,0,34606,23572,0,0,13612,0,0,,0,,0,,0,,0,false,,,,,,,
1454,1057,0,62729,312433,0,527658,0,0,0,0,365018,877,38685,,35777,261165,33314,462200,325456,2729,0,16085,0,0,28504,23514,6613,2872,43100,30428,9423,1441,0,25726,41292,60910,0,13585,0,0,,0,,52480,,0,,52480,true,,,,,,,
