IDRSSD,RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDB556,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,TEXT3549,TEXT3550,TEXT3551,
,REPOSSESSED PERSONAL PROPERTY,HISTCL COST OF ALL OTH AVL-FOR-SALE,NET DEFERRED TAX ASSETS,OTHER ASSETS,PREPAID EXPENSES,ALL OTHER ASSETS,1ST ITM AMT FOR OTH AS OV25% OF 2160,2ND ITM AMT FOR OTH AS OV25% OF 2160,3RD ITM AMT FOR OTH AS OV25% OF 2160,ACCRUED INTEREST RECEIVABLE,DERIVATIVES W/POSITIVE FAIR VALUE,COMPUTER SOFTWARE,ACCOUNTS RECEIVABLE,RECEIVABLES FROM FORECLOSED GOVERNME,"Other Assets, Interest-only strips r",LIFE INS ASSET GNRL ACCNT,LIFE INS ASSET SEPARATE ACCNT,LIFE INS ASSET HYBRID ACCNT,REPOSSESSED PERSONAL PROPERTY,HISTCL COST OF ALL OTH AVL-FOR-SALE,NET DEFERRED TAX ASSETS,OTHER ASSETS,PREPAID EXPENSES,ALL OTHER ASSETS,1ST ITM AMT FOR OTH AS OV25% OF 2160,2ND ITM AMT FOR OTH AS OV25% OF 2160,3RD ITM AMT FOR OTH AS OV25% OF 2160,ACCRUED INTEREST RECEIVABLE,DERIVATIVES W/POSITIVE FAIR VALUE,COMPUTER SOFTWARE,ACCOUNTS RECEIVABLE,RECEIVABLES FROM FORECLOSED GOVERNME,"Other Assets, Interest-only strips r",LIFE INS ASSET GNRL ACCNT,LIFE INS ASSET SEPARATE ACCNT,LIFE INS ASSET HYBRID ACCNT,1ST ITM AMT FOR OTH AS OV25% OF 2160,2ND ITM AMT FOR OTH AS OV25% OF 2160,3RD ITM AMT FOR OTH AS OV25% OF 2160,
37,,,,,,,,,,,,,,,,,,,0,55,2089,3067,0,217,0,0,0,706,0,0,0,0,0,0,0,0,,,,
242,,,,,,,,,,,,,,,,,,,0,204,0,581,0,7,0,0,0,370,0,0,0,0,0,0,0,0,,,,
279,,,,,,,,,,,,,,,,,,,17,3609,2792,15664,169,1243,0,0,0,1739,632,0,76,0,0,6281,0,0,,,,
354,,,,,,,,,,,,,,,,,,,0,467,674,2014,162,395,0,0,0,478,0,0,233,0,0,0,0,0,,,,
457,,,,,,,,,,,,,,,,,,,0,564,0,1413,0,137,0,0,0,712,0,0,0,0,0,0,0,0,,,,
505,,,,,,,,,,,,,,,,,,,0,7807,1621,23791,0,5715,2954,0,0,3248,0,0,0,0,0,5400,0,0,Pension Asset,,,
1155,,,,,,,,,,,,,,,,,,,3,1034,0,13296,639,773,0,4,0,3163,0,0,0,0,0,8326,0,0,,NA,,
1351,,,,,,,,,,,,,,,,,,,0,129,0,2579,129,217,0,0,0,2233,0,0,0,0,0,0,0,0,,,,
1454,,,,,,,,,,,,,,,,,,,0,814,0,17419,1376,3716,0,0,0,4318,0,0,1242,0,0,8571,0,0,,,,
1669,,,,,,,,,,,,,,,,,,,25,892,2748,22010,320,366,0,0,0,2986,0,0,0,0,0,14174,0,844,,,,
1856,,,,,,,,,,,,,,,,,,,0,218,0,794,156,170,0,0,0,406,0,0,0,0,0,0,0,0,0,,,
2161,,,,,,,,,,,,,,,,,,,0,3105,3807,20207,459,2720,977,0,918,1868,0,0,0,0,0,8707,0,0,Right of Use Asset Leases,,Project In Process,
2732,,,,,,,,,,,,,,,,,,,0,1492,1293,7864,0,2684,1755,0,0,2395,0,0,0,0,0,0,0,0,Right To Use - Lease,,,
2750,,,,,,,,,,,,,,,,,,,0,334,0,4657,229,229,0,0,0,1415,0,0,0,0,0,2679,0,0,,,,
3252,,,,,,,,,,,,,,,,,,,0,592,0,5798,553,873,0,0,0,4333,0,0,0,0,0,0,0,0,,,,
3458,,,,,,,,,,,,,,,,,,,0,196,517,2816,0,103,0,0,0,557,0,0,0,0,0,1443,0,0,,,,
3720,,,,,,,,,,,,,,,,,,,0,309,2617,15157,424,438,0,0,0,1444,0,0,0,0,0,7378,0,2971,,,,
3971,,,,,,,,,,,,,,,,,,,928,4670,6445,38833,819,6810,2752,151,0,5495,0,45,1356,0,0,15413,0,0,Total A/R from Holding Co or affiliate,Due from parent and affiliates - net,,
4156,,,,,,,,,,,,,,,,,,,0,430,260,9383,0,407,0,0,0,1468,0,0,0,0,0,5688,0,1130,,,,
4231,,,,,,,,,,,,,,,,,,,0,0,1540,7057,144,247,0,0,0,637,0,0,0,0,0,4633,0,0,,,,
5069,,,,,,,,,,,,,,,,,,,0,0,555,9825,2136,6432,0,0,0,2838,0,0,4296,0,0,0,0,0,,,,
5135,,,,,,,,,,,,,,,,,,,104,954,1463,19408,735,950,0,0,0,8626,0,0,0,0,0,7415,0,0,,,,
5210,,,,,,,,,,,,,,,,,,,0,11853,16534,139397,0,21688,15396,0,0,8481,0,0,0,0,0,74192,0,6649,Prepaid Pension,,,
5461,,,,,,,,,,,,,,,,,,,0,4516,808,20129,836,1937,850,0,0,3068,0,0,0,0,0,9800,0,0,CRA Investment,,,
5751,,,,,,,,,,,,,,,,,,,0,913,428,10202,502,653,0,0,0,3093,0,0,0,0,0,3550,0,1565,Receivable from Bond Security,,,
6039,,,,,,,,,,,,,,,,,,,,359,968,8633,902,1810,553,,,3297,,,,,0,2199,0,0,Annuity Asset,,,
6329,,,,,,,,,,,,,,,,,,,1019,1233,12093,50402,2486,10088,3754,2196,,8899,,63,,,0,15182,0,2907,UNPOSTED DEBITS,DEPOSIT ON ASSETS,,
7009,,,,,,,,,,,,,,,,,,,,0,1153,11697,3419,7752,0,0,0,2792,,,3885,,0,0,0,0,,,,
7045,,,,,,,,,,,,,,,,,,,1,669,4235,11616,182,270,,,,1426,,,,,0,5016,0,0,,,,
7072,,,,,,,,,,,,,,,,,,,0,2649,2280,21049,654,4963,2849,596,0,1972,0,0,0,0,0,9185,0,0,Deferred Compensation,Deferred Commissions,,
7456,,,,,,,,,,,,,,,,,,,0,500,0,5223,0,334,195,0,0,2517,0,0,0,0,0,1872,0,0,HEALTH INSURANCE,,,
7634,,,,,,,,,,,,,,,,,,,0,99,0,1112,213,339,126,0,0,674,0,0,0,0,0,0,0,0,Late fees receivable,,,
8462,,,,,,,,,,,,,,,,,,,0,21,0,1609,0,0,0,0,0,1588,0,0,0,0,0,0,0,0,,,,
8631,,,,,,,,,,,,,,,,,,,0,345,591,3922,57,57,0,0,0,206,0,0,0,0,0,2723,0,0,,,,
9357,,,,,,,,,,,,,,,,,,,0,340,0,3681,891,1341,0,0,0,2000,0,0,0,0,0,0,0,0,,,,
9553,,,,,,,,,,,,,,,,,,,0,3085,0,11134,258,353,0,0,0,3558,0,0,0,0,0,3083,0,1055,,,,
9807,,,,,,,,,,,,,,,,,,,,8261,0,162276,764,1394,,,,12175,,,,,0,39385,101061,0,,,,
9955,,,,,,,,,,,,,,,,,,,0,3219,108,4568,60,106,0,0,0,1135,0,0,0,0,0,0,0,0,,,,
10250,,,,,,,,,,,,,,,,,,,0,3438,0,7831,793,1218,0,0,0,2803,0,269,0,0,0,372,0,0,,,,
10849,,,,,,,,,,,,,,,,,,,0,695,2018,4693,572,709,0,0,0,1271,0,124,0,0,0,0,0,0,,,,
11145,,,,,,,,,,,,,,,,,,,,1590,4537,20975,1506,4943,984,1121,,1821,1332,,,,0,6944,0,1140,Marble Cliff Capital,Great Lakes Capital Fund,,
11640,,,,,,,,,,,,,,,,,,,0,3129,4253,26860,706,3288,0,0,0,4410,0,0,0,0,0,11780,0,0,,,,
11837,,,,,,,,,,,,,,,,,,,0,147,1999,2987,119,213,0,0,0,628,0,0,0,0,0,0,0,0,,,,
12030,,,,,,,,,,,,,,,,,,,0,24755,4571,35362,310,462,149,0,0,4082,0,0,0,0,0,1492,0,0,Securities Paydown Receivable,,,
12142,,,,,,,,,,,,,,,,,,,0,773,3136,14117,0,868,304,0,0,2163,0,0,0,0,0,4362,0,2815,prepaid pension contribution,,,
12311,0,795024,755443,6825031,0,1848214,590094,0,0,705821,0,0,0,0,0,725335,936453,1058741,,795024,,,,,,,,,,,,,,,,,~Income Tax Receivable,,,
12647,,,,,,,,,,,,,,,,,,,0,578,0,5530,218,308,0,0,0,1130,0,0,0,0,0,3514,0,0,,0,,
12946,,,,,,,,,,,,,,,,,,,0,8899,30636,100393,1847,5551,0,0,0,16716,0,289,267,0,0,4104,34487,0,PREPAID TAXES,,,
13103,,,,,,,,,,,,,,,,,,,,2148,16446,62478,3135,21124,,,,8646,11514,,,,0,14114,0,0,,,,
13251,,,,,,,,,,,,,,,,,,,0,735,0,1718,103,104,0,0,0,315,0,1,0,0,0,564,0,0,,,,
13457,,,,,,,,,,,,,,,,,,,0,0,0,868,0,167,0,0,0,701,0,0,0,0,0,0,0,0,,,,
14155,,,,,,,,,,,,,,,,,,,0,820,0,11187,416,458,0,0,0,4515,0,0,0,0,0,5394,0,0,,,,
14650,,,,,,,,,,,,,,,,,,,0,182,0,2453,0,323,212,0,0,500,0,0,0,0,0,1448,0,0,Unposted Debits,,,
14753,,,,,,,,,,,,,,,,,,,0,182,45,1157,128,150,0,0,0,780,0,0,0,0,0,0,0,0,,,,
14865,,,,,,,,,,,,,,,,,,,0,734,4126,28840,1233,2317,0,0,0,9583,0,0,0,0,0,8242,1926,1912,,,,
14977,,,,,,,,,,,,,,,,,,,,25,92,907,54,79,,,,711,,,,,0,0,0,0,,,,
16551,,,,,,,,,,,,,,,,,,,0,3903,0,14070,215,2985,0,0,0,2471,0,23,0,0,0,4711,0,0,,,,
17110,,,,,,,,,,,,,,,,,,,,219,0,4451,1317,3941,,,,291,,,2519,,0,0,0,0,,,,
17147,,,,,,,,,,,,,,,,,,,,41742,91535,728364,,191951,,,,97540,87777,,,,0,217357,69520,18719,,,,
17259,,,,,,,,,,,,,,,,,,,0,536,0,3329,113,115,0,0,0,519,0,0,0,0,0,2159,0,0,,0,,
