IDRSSD,RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,TEXT3552,TEXT3553,TEXT3554,
,"OTHER LIABILITIES, TOTAL",DIVIDENDS DECLARED BUT NOT YET PAYAB,ALL OTHER LIABILITIES,NET DEFERRED TAX LIABILITIES,ACCOUNTS PAYABLE,1ST ITM AMT FOR OTH LB OV25% OF 2930,2ND ITM AMT FOR OTH LB OV25% OF 2930,3RD ITM AMT FOR OTH LB OV25% OF 2930,OTHER EXPENSES ACCRUED & UNPAID,ALL0WANCE FOR CREDIT LOSSES OFF B/S,DEFERRED COMPENSATION LIABILITIES,DERIVATATIVES W/NEGATIVE FAIR VALUE,Operating lease liabilitie,"OTHER LIABILITIES, TOTAL",DIVIDENDS DECLARED BUT NOT YET PAYAB,ALL OTHER LIABILITIES,NET DEFERRED TAX LIABILITIES,ACCOUNTS PAYABLE,1ST ITM AMT FOR OTH LB OV25% OF 2930,2ND ITM AMT FOR OTH LB OV25% OF 2930,3RD ITM AMT FOR OTH LB OV25% OF 2930,INTEREST ACCRUED & UNPAID ON DEPS,OTHER EXPENSES ACCRUED & UNPAID,ALL0WANCE FOR CREDIT LOSSES OFF B/S,DEFERRED COMPENSATION LIABILITIES,DERIVATATIVES W/NEGATIVE FAIR VALUE,Operating lease liabilitie,1ST ITM AMT FOR OTH LB OV25% OF 2930,2ND ITM AMT FOR OTH LB OV25% OF 2930,3RD ITM AMT FOR OTH LB OV25% OF 2930,
37,,,,,,,,,,,,,,236,0,145,0,0,0,0,0,89,2,0,0,0,0,,,,
242,,,,,,,,,,,,,,103,0,0,0,0,0,0,0,98,0,5,0,0,0,,,,
279,,,,,,,,,,,,,,4210,0,2328,0,89,795,148,11,549,1171,162,222,0,325,ATM Settlement,ESOP Payable,Other Liabilities,
354,,,,,,,,,,,,,,459,0,16,0,0,0,0,0,137,267,39,0,0,0,,,,
457,,,,,,,,,,,,,,301,0,0,0,0,0,0,0,151,150,0,0,0,0,,,,
505,,,,,,,,,,,,,,9899,0,4374,912,0,3103,0,0,745,3775,93,0,0,0,Deferred Service Fee - FCC,,,
1155,,,,,,,,,,,,,,2990,0,1557,0,0,0,0,0,596,837,0,1514,0,0,,,,
1351,,,,,,,,,,,,,,1492,0,91,0,0,0,0,0,1096,305,0,0,0,0,,,,
1454,,,,,,,,,,,,,,5170,0,4004,0,0,1134,0,0,216,229,721,2202,0,0,FISERV SETTLEMENT ACCOUNT,,,
1669,,,,,,,,,,,,,,2038,0,1241,0,0,0,0,0,764,33,0,103,0,0,,,,
1856,,,,,,,,,,,,,,85,0,16,0,0,0,0,0,57,12,0,0,0,0,,,,
2161,,,,,,,,,,,,,,7318,0,5157,0,0,2242,0,0,213,1675,273,1707,0,1029,SBA PPP Overage,,,
2732,,,,,,,,,,,,,,5485,0,2477,0,0,0,0,0,1865,1083,60,0,0,1830,,,,
2750,,,,,,,,,,,,,,730,104,505,0,0,0,0,0,103,112,10,400,0,0,PYMT DUE TO LOAN PARTICIPATION BANK,,,
3252,,,,,,,,,,,,,,1099,0,3,0,0,0,0,0,673,423,0,0,0,0,,,,
3458,,,,,,,,,,,,,,385,0,32,0,0,0,0,0,273,80,0,0,0,0,,,,
3720,,,,,,,,,,,,,,2558,0,1,0,0,0,0,0,359,2158,40,0,0,0,,,,
3971,,,,,,,,,,,,,,11459,0,4671,0,0,4,0,0,4764,1916,108,2323,0,2222,Unearned revenues,Deferred Compensation,,
4156,,,,,,,,,,,,,,2117,0,651,0,0,319,0,0,1136,118,212,0,0,0,Deferrred Mastercard Bonus,,,
4231,,,,,,,,,,,,,,644,0,0,0,0,0,0,0,393,171,80,0,0,0,,,,
5069,,,,,,,,,,,,,,9605,0,1781,0,1433,0,0,0,3529,3789,506,0,0,0,,,,
5135,,,,,,,,,,,,,,4074,0,2524,0,0,0,0,0,1221,329,0,1104,0,0,,,,
5210,,,,,,,,,,,,,,24482,0,16876,0,0,0,0,0,413,5883,1310,4817,0,0,,,,
5461,,,,,,,,,,,,,,8781,0,6812,0,0,0,0,0,157,1630,182,5411,0,0,,,,
5751,,,,,,,,,,,,,,2037,0,1495,0,0,749,0,0,204,338,0,706,0,0,Post Retirement Benefits Payable,,,
6039,,,,,,,,,,,,,,4711,,1472,0,,,,,2019,1220,0,,,303,,,,
6329,,,,,,,,,,,,,,12263,,6480,0,917,,,,2017,2549,1217,4037,,957,,,,
7009,,,,,,,,,,,,,,10291,,946,0,292,654,0,0,1052,8293,0,,,,Collateral Received on Interest Rate Swap Exposure,,,
7045,,,,,,,,,,,,,,849,,0,0,,,,,212,637,0,,,,,,,
7072,,,,,,,,,,,,,,5036,0,3486,0,0,0,0,0,107,1412,31,2849,0,202,,,,
7456,,,,,,,,,,,,,,593,0,201,0,0,0,0,0,244,148,0,0,0,0,,,,
7634,,,,,,,,,,,,,,461,0,0,16,0,0,0,0,236,164,45,0,0,0,,,,
8462,,,,,,,,,,,,,,1907,0,45,0,0,0,0,0,1758,98,6,0,0,0,,,,
8631,,,,,,,,,,,,,,894,0,734,0,0,0,0,0,102,58,0,734,0,0,,,,
9357,,,,,,,,,,,,,,8252,0,6353,0,583,0,0,0,54,1682,163,2703,0,0,,,,
9553,,,,,,,,,,,,,,1740,0,0,0,0,0,0,0,307,1433,0,0,0,0,,,,
9807,,,,,,,,,,,,,,17657,,5715,0,,,,,5078,6126,738,,,4461,0,0,,
9955,,,,,,,,,,,,,,807,0,0,0,0,0,0,0,122,685,0,0,0,0,,,,
10250,,,,,,,,,,,,,,3359,0,1283,0,0,0,0,0,1011,1050,15,970,0,0,,,,
10849,,,,,,,,,,,,,,948,0,97,0,77,0,0,0,290,278,283,0,0,0,,,,
11145,,,,,,,,,,,,,,3262,,135,0,,102,33,,533,2594,0,,,,Great Lakes Capital FUnd,Differed Revenue,,
11640,,,,,,,,,,,,,,4066,0,1735,0,0,0,0,0,988,1343,0,1735,0,0,,,,
11837,,,,,,,,,,,,,,255,0,2,0,0,0,0,0,108,96,49,0,0,0,,,,
12030,,,,,,,,,,,,,,6094,0,3404,0,2408,0,0,0,1104,170,1416,996,0,0,,,,
12142,,,,,,,,,,,,,,3205,0,1905,0,0,681,0,0,1257,43,0,971,0,0,SERP Liability,,,
12311,3945189,0,3175721,0,1401746,0,0,0,527864,119055,0,0,0,,,,,,,,,122549,,,,,,,,,
12647,,,,,,,,,,,,,,367,0,0,0,0,0,0,0,286,81,0,0,0,0,,,,
12946,,,,,,,,,,,,,,24111,0,12961,0,0,0,0,0,1774,8703,673,8345,0,0,,,,
13103,,,,,,,,,,,,,,41333,,32039,0,,10282,,,4723,4560,11,,11514,,Defined Benefit Retirement Plan Liability,,,
13251,,,,,,,,,,,,,,199,0,93,0,0,5,20,0,106,0,0,0,0,0,Deferred Gain on sale of ORE,Accrued Employee  B&P,Deferred PPP Income,
13457,,,,,,,,,,,,,,332,0,0,91,0,0,0,0,149,92,0,0,0,0,,,,
14155,,,,,,,,,,,,,,3005,0,1279,0,0,555,0,0,793,918,15,701,0,0,Deferred Mastercard contract incentive,,,
14650,,,,,,,,,,,,,,635,0,291,0,0,0,0,0,40,156,148,267,0,0,,,,
14753,,,,,,,,,,,,,,283,0,0,0,0,0,0,0,137,146,0,0,0,0,,,,
14865,,,,,,,,,,,,,,8636,0,5950,0,0,1606,0,0,256,2405,25,1968,0,0,ATM CLEARING VANTIV,,,
14977,,,,,,,,,,,,,,406,,68,0,30,,,,187,118,33,,,,,,,
16551,,,,,,,,,,,,,,1307,0,130,0,0,0,0,0,619,339,219,0,0,0,Deferred PPP Loan Fees,,,
17110,,,,,,,,,,,,,,22155,,8926,0,,,,,748,12418,63,,,8768,,,,
17147,,,,,,,,,,,,,,343517,,121179,0,,,,,13331,189507,19500,,87236,,,,,
17259,,,,,,,,,,,,,,1689,0,1364,0,0,0,0,0,88,237,0,1364,0,0,,,,
17950,,,,,,,,,,,,,,3222,0,1642,0,5,0,0,0,693,726,161,1448,0,0,ATM/EFT Settlement,,,
17978,,,,,,,,,,,,,,506,0,435,0,40,306,89,0,17,54,0,0,0,0,Unearned Loan Fees (FASB 91),Other Liabilities,,
18050,,,,,,,,,,,,,,5451,0,2234,0,426,0,0,0,1176,1911,130,879,0,0,,,,
18827,,,,,,,,,,,,,,24291,0,15207,0,0,0,0,0,1853,5262,1969,0,13062,0,,,,
18836,,,,,,,,,,,,,,2454,0,1040,0,0,0,0,0,137,1277,0,833,0,0,,,,
18854,,,,,,,,,,,,,,10790,,8220,0,,,,,1402,704,464,,,,,,,
19356,,,,,,,,,,,,,,1075,0,554,0,0,0,0,0,199,208,114,422,0,0,,,,
19936,,,,,,,,,,,,,,3219,0,2478,0,0,0,0,0,341,0,400,1919,0,0,,,,
19972,,,,,,,,,,,,,,1458,0,1350,0,0,987,313,0,3,61,44,0,0,0,Accrued Exp Life Insurance,Accrued Exp Life Insurance Split Dollar Plan,,
20053,,,,,,,,,,,,,,552,0,0,0,0,0,0,0,358,194,0,0,0,0,Unrealized interest AR,,,
20633,,,,,,,,,,,,,,2345,0,1444,0,0,0,0,0,284,593,24,1081,0,0,,,,
20857,,,,,,,,,,,,,,2765,0,575,0,163,0,0,0,1714,177,299,412,0,0,,,,
21256,,,,,,,,,,,,,,12,0,8,0,0,0,0,0,4,0,0,0,0,0,,,,
21359,,,,,,,,,,,,,,325,0,184,0,0,3,0,0,79,62,0,181,0,0,Shazam Debit Card Settlement,,,
21658,,,,,,,,,,,,,,1518,,1019,0,,,,,330,169,0,879,,,,,,
22048,,,,,,,,,,,,,,3244,0,1624,0,0,0,0,0,884,588,148,1617,0,0,,,,
22543,,,,,,,,,,,,,,2334,0,492,779,26,0,0,0,154,752,157,0,0,218,,,,
22552,,,,,,,,,,,,,,287,0,0,0,0,0,0,0,241,46,0,0,0,0,,,,
22730,,,,,,,,,,,,,,1082,0,240,0,0,0,0,0,430,390,22,0,0,0,,,,
