IDRSSD,RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD6164,RCFD6165,RCFDA590,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK192,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TEXT4087,
,INTANGIBLE ASSETS,OTHER REAL ESTATE OWNED,FHLB ADVANCES MATURING <= 1 YEAR,GOODWILL,MORTGAGE SERVICING ASSETS,OTHER BORROWED MONEY,IS CU WEB SITE INTERACTIVE?,AGGREG AKT OF EXT OF CREDIT TO EXECS,NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS,ESTMTD FAIR VAL OF MTG SERVNG ASSETS,DOES RPRTNG BANK SELL MUTUAL FUNDS?,ASSETS MANAGED: MUTUAL FUNDS&ANNUITY,OTHER BORR0WINGS MATURING <= 1 YEAR,FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE,FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS,FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS,FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y,FHLB ADVANCES: STRUCTURED ADVANCES,OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR,OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 ,OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 ,OT BRWD MNY:WT RMNG MAT/REPR DT OV 5,SECURED LIBLTIES:AMT OF,Cost of equity securities with readi,All other intangible asset,ASSET CVR LS SHR FDIC OREO PRTN PROT,CPTV INS SUB TOTAL ASSET CPTV INS SU,CPTV INS SUB TOTAL ASSET CPTV REINS ,ALL OTHR RE OWNED IN FOREIGN OFFICES,INTANGIBLE ASSETS,OTHER REAL ESTATE OWNED,FHLB ADVANCES MATURING <= 1 YEAR,GOODWILL,MORTGAGE SERVICING ASSETS,OTHER BORROWED MONEY,IS CU WEB SITE INTERACTIVE?,CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC,FARMLAND IN DOMESTIC OFFICES,1-4 FMLY RESDTL PROPTS IN DOMS OFFCS,MULTIFMLY RESDTL PROPTS IN DOMS OFFC,NONFRM NONRESDTL PROPTS IN DOMS OFFC,AGGREG AKT OF EXT OF CREDIT TO EXECS,NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS,ESTMTD FAIR VAL OF MTG SERVNG ASSETS,DOES RPRTNG BANK SELL MUTUAL FUNDS?,ASSETS MANAGED: MUTUAL FUNDS&ANNUITY,OTHER BORR0WINGS MATURING <= 1 YEAR,FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE,FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS,FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS,FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y,FHLB ADVANCES: STRUCTURED ADVANCES,OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR,OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 ,OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 ,OT BRWD MNY:WT RMNG MAT/REPR DT OV 5,SECURED LIBLTIES:AMT OF,SECURED LIBLTIES:AMT OF,"BK ACT AS TR CUST IRA, HSA, & OTHR?",BK CUST OTHR SRVC SL PRCH SCTY?,Cost of equity securities with readi,All other intangible asset,ASSET CVR LS SHR FDIC OREO PRTN PROT,CPTV INS SUB TOTAL ASSET CPTV INS SU,CPTV INS SUB TOTAL ASSET CPTV REINS ,INST USE HOLA QTL OR IRS DBLA,INST COMPLY W HOLA QLT OR IRS DBLA,Number of outstanding PPP Loan,Outstanding balance of PPP loan,Outstanding balance of loans pledged,Quarterly average amount of PPP loan,Outstanding balance of borrowings fr,Outstanding balance of borrowings fr,Estimated number of international re,Estimated number of international re,EST NUMBER OF REMITTANCE TRANSFERS,EST DOLLAR OF REMITTANCE TRANSFERS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,TRD NM OTR THN LGL TTL ID INST DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,TRD NM OTR THN LGL TTL ID INST DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,TRD NM OTR THN LGL TTL ID INST DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,TRD NM OTR THN LGL TTL ID INST DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,TRD NM OTR THN LGL TTL ID INST DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,TRD NM OTR THN LGL TTL ID INST DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,URLS PUB WEB TO ACCPT OR SOLICT DEPS,URL,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,https://www.bankofhancock.com/,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2900,,0,0,0,0,0,2,0,0,,,0,0,1300,477,1123,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fcbxeniaflora.com,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,480,10700,0,243,71212,,0,0,0,0,480,4150,3,243,,,0,10700,31038,29474,0,0,0,0,0,0,0,0,,,,198,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.broadstreet.bank,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4767,0,0,4767,,0,0,0,0,0,555,0,0,,,0,4767,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.bisonstatebank.com,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,7450,0,0,10450,,0,0,0,0,97,1675,2,0,,,0,7450,1000,2000,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.lowrystate.com,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,0,47300,1595,92,77300,,0,0,0,0,0,7241,2,92,,,0,57300,20000,0,0,0,0,0,0,0,350,0,,,,0,,,,,,2,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,https://ww.bsnb.com,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9250,0,0,8580,0,0,,0,0,0,0,0,7214,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,670,,,,,,1,6,0,0,0,0,,,,,www.rvrbankchecking.com,,,,,,,,,,,,,,,,www.rvr.bank,
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,309,0,0,0,0,,0,0,0,0,309,2756,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.bankofgrandin.net,
1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,46771,11,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,,,,,,2,41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,WWW.HILLTOP.BANK,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5300,,0,0,0,0,0,8713,4,0,,,5300,0,0,0,0,0,5300,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.lnbparis.com,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,0,98,0,0,,0,0,0,0,0,218,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.washitastatebank.com,
