IDRSSD,RCONFT04,RCONFT05,RCONHT81,RCONHT82,RCONHT86,RCONL191,RCONL192,RCONM288,RIADHT85,
,PRINCIPAL AMOUNT OF 1-4 FAMILY RESID,QUARTER END AMOUNT OF 1-4 FAMILY RES,Retail originations during the quart,Wholesale originations and purchases,Repurchases and indemnification of 1,REP AND WARRNTY TO US GOVT AGCY,REP AND WARRNTY TO OTHR PARTIES,REP WARRNTY TO US GOVT AGCY TOTAL,Noninterest income for the quarter f,
37,,,,,,CONF,CONF,,,
242,,,,,,CONF,CONF,,,
279,14621,0,,,,CONF,CONF,,,
354,5128,275,,,,CONF,CONF,,,
457,,,,,,CONF,CONF,,,
505,,,,,,CONF,CONF,,,
1155,,,,,,CONF,CONF,,,
1351,,,,,,CONF,CONF,,,
1454,,,,,,CONF,CONF,,,
1669,,,,,,CONF,CONF,,,
1856,,,,,,CONF,CONF,,,
2161,,,,,,CONF,CONF,,,
2732,,,,,,CONF,CONF,,,
2750,,,,,,CONF,CONF,,,
3252,,,,,,CONF,CONF,,,
3458,,,,,,CONF,CONF,,,
3720,,,,,,CONF,CONF,,,
3971,,,,,,CONF,CONF,,,
4156,,,,,,CONF,CONF,,,
4231,,,,,,CONF,CONF,,,
5069,,,,,,CONF,CONF,,,
5135,,,,,,CONF,CONF,,,
5210,,,,,,CONF,CONF,,,
5461,,,,,,CONF,CONF,,,
5751,,,,,,CONF,CONF,,,
6039,,,,,,CONF,CONF,,,
6329,31009,3627,0,32120,0,CONF,CONF,0,837,
7009,,,,,,CONF,CONF,,,
7045,0,0,0,0,0,CONF,CONF,0,0,
7072,,,,,,CONF,CONF,,,
7456,,,,,,CONF,CONF,,,
7634,,,,,,CONF,CONF,,,
8462,,,,,,CONF,CONF,,,
8631,,,,,,CONF,CONF,,,
9357,,,,,,CONF,CONF,,,
9553,,,,,,CONF,CONF,,,
9807,,,,,,CONF,CONF,,,
9955,,,,,,CONF,CONF,,,
10250,,,,,,CONF,CONF,,,
10849,,,,,,CONF,CONF,,,
11145,,,,,,CONF,CONF,,,
11640,,,,,,CONF,CONF,,,
11837,,,,,,CONF,CONF,,,
12030,,,,,,CONF,CONF,,,
12142,,,,,,CONF,CONF,,,
12311,1019941,671021,733085,458327,4718,CONF,CONF,9900,30444,
12647,,,,,,CONF,CONF,,,
12946,4730,6625,,,,CONF,CONF,,,
13103,2691,107,2691,0,0,CONF,CONF,0,24,
13251,,,,,,CONF,CONF,,,
13457,,,,,,CONF,CONF,,,
14155,,,,,,CONF,CONF,,,
14650,,,,,,CONF,CONF,,,
14753,,,,,,CONF,CONF,,,
14865,,,,,,CONF,CONF,,,
14977,0,0,0,0,0,CONF,CONF,0,0,
16551,,,,,,CONF,CONF,,,
17110,0,0,0,0,0,CONF,CONF,0,0,
17147,170992,32188,123942,0,0,CONF,CONF,0,4076,
17259,,,,,,CONF,CONF,,,
17950,,,,,,CONF,CONF,,,
17978,,,,,,CONF,CONF,,,
18050,,,,,,CONF,CONF,,,
18827,,,,,,CONF,CONF,,,
18836,,,,,,CONF,CONF,,,
18854,,,,,,CONF,CONF,,,
19356,,,,,,CONF,CONF,,,
19936,,,,,,CONF,CONF,,,
19972,,,,,,CONF,CONF,,,
20053,,,,,,CONF,CONF,,,
20633,,,,,,CONF,CONF,,,
20857,,,,,,CONF,CONF,,,
21256,,,,,,CONF,CONF,,,
21359,,,,,,CONF,CONF,,,
21658,,,,,,CONF,CONF,,,
22048,,,,,,CONF,CONF,,,
22543,,,,,,CONF,CONF,,,
22552,,,,,,CONF,CONF,,,
22730,,,,,,CONF,CONF,,,
23456,,,,,,CONF,CONF,,,
23504,0,0,0,0,0,CONF,CONF,0,0,
23643,,,,,,CONF,CONF,,,
23755,,,,,,CONF,CONF,,,
24006,,,,,,CONF,CONF,,,
24378,,,,,,CONF,CONF,,,
24659,,,,,,CONF,CONF,,,
24949,,,,,,CONF,CONF,,,
25357,,,,,,CONF,CONF,,,
25647,,,,,,CONF,CONF,,,
26765,,,,,,CONF,CONF,,,
27070,,,,,,CONF,CONF,,,
27614,,,,,,CONF,CONF,,,
27847,,,,,,CONF,CONF,,,
28013,,,,,,CONF,CONF,,,
28152,,,,,,CONF,CONF,,,
28675,,,,,,CONF,CONF,,,
28732,,,,,,CONF,CONF,,,
29476,,,,,,CONF,CONF,,,
29636,,,,,,CONF,CONF,,,
29878,,,,,,CONF,CONF,,,
30052,,,,,,CONF,CONF,,,
30502,,,,,,CONF,CONF,,,
30810,,,,,,CONF,CONF,,,
31134,,,,,,CONF,CONF,,,
31255,,,,,,CONF,CONF,,,
31657,,,,,,CONF,CONF,,,
31826,,,,,,CONF,CONF,,,
31835,,,,,,CONF,CONF,,,
32234,,,,,,CONF,CONF,,,
32766,,,,,,CONF,CONF,,,
32971,,,,,,CONF,CONF,,,
33147,,,,,,CONF,CONF,,,
33259,,,,,,CONF,CONF,,,
33370,,,,,,CONF,CONF,,,
33839,,,,,,CONF,CONF,,,
33857,11736,1365,13101,0,0,CONF,CONF,0,251,
34434,,,,,,CONF,CONF,,,
34537,18892,4250,19085,0,0,CONF,CONF,111,0,
34555,,,,,,CONF,CONF,,,
34742,12659,3064,,,,CONF,CONF,,,
35057,3342,1648,3342,0,0,CONF,CONF,0,0,
35301,0,0,0,0,0,CONF,CONF,0,0,
35646,,,,,,CONF,CONF,,,
35879,,,,,,CONF,CONF,,,
36456,,,,,,CONF,CONF,,,
36933,,,,,,CONF,CONF,,,
37051,,,,,,CONF,CONF,,,
37341,,,,,,CONF,CONF,,,
37435,,,,,,CONF,CONF,,,
37640,32909,15419,39049,0,1041,CONF,CONF,0,859,
37659,0,0,0,0,0,CONF,CONF,0,0,
37949,,,,,,CONF,CONF,,,
38740,,,,,,CONF,CONF,,,
39327,,,,,,CONF,CONF,,,
39756,,,,,,CONF,CONF,,,
40033,,,,,,CONF,CONF,,,
40499,108479,41814,134013,0,646,CONF,CONF,2569,4809,
40855,,,,,,CONF,CONF,,,
41553,,,,,,CONF,CONF,,,
41629,,,,,,CONF,CONF,,,
41825,14095,4739,14095,0,0,CONF,CONF,0,277,
42037,,,,,,CONF,CONF,,,
42354,,,,,,CONF,CONF,,,
42372,,,,,,CONF,CONF,,,
42420,47094,13391,52839,0,0,CONF,CONF,0,1206,
42448,,,,,,CONF,CONF,,,
42457,,,,,,CONF,CONF,,,
43052,,,,,,CONF,CONF,,,
43351,,,,,,CONF,CONF,,,
43856,,,,,,CONF,CONF,,,
43959,,,,,,CONF,CONF,,,
44040,,,,,,CONF,CONF,,,
44433,,,,,,CONF,CONF,,,
44741,,,,,,CONF,CONF,,,
44750,,,,,,CONF,CONF,,,
44929,,,,,,CONF,CONF,,,
45038,0,0,0,0,0,CONF,CONF,0,0,
45056,,,,,,CONF,CONF,,,
45430,,,,,,CONF,CONF,,,
45458,,,,,,CONF,CONF,,,
45551,,,,,,CONF,CONF,,,
45560,55925,4063,58902,0,0,CONF,CONF,0,183,
45775,,,,,,CONF,CONF,,,
46053,,,,,,CONF,CONF,,,
46941,,,,,,CONF,CONF,,,
47247,117756,20735,124908,0,0,CONF,CONF,0,4766,
47500,,,,,,CONF,CONF,,,
48057,,,,,,CONF,CONF,,,
48150,,,,,,CONF,CONF,,,
48374,28533,4059,,,,CONF,CONF,,,
48440,,,,,,CONF,CONF,,,
49054,,,,,,CONF,CONF,,,
49148,,,,,,CONF,CONF,,,
49241,,,,,,CONF,CONF,,,
