IDRSSD,RIADA491,RIADB904,RIADB905,RIADB906,RIADB907,RIADB909,RIADB910,RIADB911,RIADB912,RIADB947,RIADB948,RIADB949,RIADB950,RIADB951,RIADB952,RIADB953,RIADB954,RIADB955,RIADB956,RIADB957,RIADB958,RIADB959,RIADB960,RIADB961,RIADC058,RIADJ315,RIADJ316,
,NET TRUST INCOME (LOSS),PERSONAL TRUST AND AGENCY ACCOUNTS,EMPLOYEE BENEFIT-DEFINED CONTRIBUTN,EMPLOYEE BENEFIT-DEFINED BENEFIT,OTHER RETIREMENT ACCOUNTS,CUSTODY AND SAFEKEEPING ACCOUNTS,OTH FIDUCIARY/RELATED SERVICES INCME,PLUS:INTRACMPNY INCM CRDTS FOR FIDUC,FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS,"PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC",PRSNL TRST/AGCY ACCTS-GROSS LOSS NON,PERSONAL TRUST/AGCY ACCTS-RECOVERIES,"RETIREMT RLTD TRST,ETC-GROSS LOSS MN","RETIREMT RLTD TRST,ETC-GROSS LOS NON","RETIREMT RELATED TRST,ETC-RECOVERIES",INVMT MNGEMT AGCY ACCTS-GROS LOS MNG,INVMT MNGEMT AGCY ACCTS-GROS LOS NON,INVTMT MNGEMT AGCY ACCTS-RECOVERIES,OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN,OTH FID ACCTS/RLTD SVCS-GROS LOS NON,OTH FIDU ACCTS/RLTD SVCS-RECOVERIES,"TOT FIDU SETTLEMTS,ETC-GROS LOSS MN","TOT FIDU SETTLEMTS,ETC-GROS LOSS NON","TOT FIDU SETTLEMENTS,ETC-RECOVERIES",LESS: EXPENSES,FID REL SRVC INC INV MGMT ADVIS AGY ,FID REL SRVC INC FOUND ENDW TR AGY A,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,,519,322,0,499,0,0,,,,,,,,,,,,,,,,,,,1139,71,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5210,,382,0,0,424,34,6,,,,,,,,,,,,,,,,,,,748,68,
5461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,,14257,551,283,0,318,40454,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,962,203,
7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807,,117,0,0,53,14,0,,,,,,,,,,,,,,,,,,,0,8,
9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311,,28412,848,114,12255,4116,0,,0,,,,,,,,,,,,,,,,,41194,4255,
12647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12946,,1434,0,0,246,29,41,,,,,,,,,,,,,,,,,,,0,62,
13103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17110,,4920,821,387,5033,1,403,,,,,,,,,,,,,,,,,,,18003,3373,
17147,,4894,916,137,1778,204,0,,,,,,,,,,,,,,,,,,,4599,143,
17259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22730,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30810,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34537,,1879,0,0,445,0,63,,,,,,,,,,,,,,,,,,,2828,82,
34555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
