"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	15	44													11	5													true	true	
242	104	68													34	43													true	true	
279			19	810	35	4488	31	13762	135	2914	14	1665	7	1541			18	928	23	3092	5	1301	7	131	0	0	0	0	false	false	
354			5	239	11	2181	20	10981	13	366	4	338	6	2505			4	221	2	240	3	1020	13	417	1	175	0	0	false	false	
457			5	131	16	1772	19	6652	70	1898	16	1751	16	6603			6	209	8	991	9	1704	49	1088	8	735	9	1569	false	false	
505			6	256	39	5624	62	24705	145	2813	85	6152	47	4362															false	false	
1155			48	1972	47	5440	75	29641	268	5864	71	5996	72	23595			13	494	38	4684	24	6572	108	2747	35	3096	13	2743	false	false	
1351			150	4780	43	5568	26	9992	235	4835	40	4850	22	7703			19	797	18	2219	2	690	91	1742	10	944	4	1141	false	false	
1454			24	1381	44	5955	77	30491	341	8190	79	7468	119	29154			1	66	11	1086	7	1769	33	791	9	1165	2	228	false	false	
