"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	931	0	2	0	932	3	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	184	5	6	0	190	17	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	2975	-88	20	0	3096	53	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-65		
354		0	566	95	46	0	541	116	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-25		
457		0	861	80	58	0	778	55	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	8416	360	10	0	8076	30	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	6247	605	7	0	5671	36	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1240	90	30	0	1250	130	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454		0	5623	0	7	0	5693	77	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193		
1669		0	5241	247	24	0	5090	120	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	389	30	0	0	359	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2161		0	2968	480	173	0	2935	620	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25		
2732		0	5182	160	0	0	5022	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60		
2750		0	512	0	1	0	511	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3619	0	164	0	3747	292	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3458		0	598	16	1	0	592	11	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	1727	60	0	0	1667	0	0				50	0	-20	0	0	30	0	0	0	0	0	0	0	0	0	-10		
3971		0	13182	6464	120	0	10667	5319	1250				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4156		0	2612	0	24	0	2615	27	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231		0	908	-48	4	0	954	2	0				10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	48		
5069		0	13881	645	5	0	13701	470	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-445		
5135		0	5513	460	14	0	5133	94	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210		0	17162	-2767	72	0	19969	112	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-410		
5461		0	6835	0	18	0	6831	14	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5751		0	2631	119	3	0	2512	3	0				40	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0		
