"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					55	0	47074					0	0	0			0	37371	0	0										0		
242	0	3297					204	0	18564					2900	0	0			0	8798	0	0										0		
279	0	0					3609	23848	89554					71212	0	0			1579	13302	0	0										0		
354	0	588					467	0	1712					4767	0	0			0	0	0	0										0		
457	0	962					564	0	962					10450	0	0			0	0	0	0										13		
505	0	9886					7807	0	68788					77300	0	0			0	9214	0	0										0		
1155	0	4066					1034	0	69960					0	0	0			0	45256	0	0										0		
1351	0	0					129	68546	10845					0	0	0			10061	0	0	0										0		
1454	0	24883					814	0	424009					0	0	0			0	119514	0	0										147		
1669	0	44466					892	21384	68564					5300	0	0			21384	0	0	0										0		
1856	0	0					218	1000	7436					0	0	0			0	0	0	0										0		
2161	0	0					3105	0	94251					18000	0	0			0	34031	0	0										0		
2732	0	10825					1492	0	36639					0	0	0			0	19667	0	0										0		
2750	0	498					334	0	15183					1780	0	0			0	8026	0	0										67		
3252	0	56639					592	0	186890					0	0	0			0	47557	0	0										0		
3458	0	332					196	797	16932					0	0	0			797	7956	0	1000										0		
3720	0	19114					309	39939	98753					0	0	0			32189	3609	0	0										0		
3971	0	58654					4670	0	192601					82649	0	0			0	9639	0	0										878		
4156	0	4072					430	0	52879					1500	0	0			0	35206	0	6035										132		
4231	0	7850					0	1000	66123					0	0	0			0	21611	0	0										0		
5069	0	0					0	0	10618					0	0	0			0	1732	0	0										877		
5135	0	63124					954	0	94652					11151	0	0			0	2033	0	0										0		
5210	0	0					11853	64585	418364					262278	0	0			62487	0	0	27673										919		
5461	3896	0					4516	232550	66951					54498	0	0			94306	2592	0	0										0		
5751	0	1784					913	6250	115080					9075	0	0			0	31663	0	0										0		
6039	0	26547					359	0	38002					0	0	0			0	1434	0	0										0		
6329	0	0					1233	0	195615					25000	0	0			0	12757	0	0										0		
7009	0	27350					0	0	78541					0	0	0			0	51191	0	0										831		
7045	0	0					669	312	141046					0	0	0			312	53733	0	0										0		
7072	2000	0					2649	44094	36154					19500	0	0			6821	2803	0	0										0		
7456	0	0					500	0	32130					0	0	0			0	28780	0	0										0		
7634	0	585					99	0	12331					0	0	0			0	5653	0	0										0		
8462	0	3857					21	0	98815					5400	0	0			0	23429	0	0										0		
8631	0	0					345	0	18324					0	0	0			0	1022	0	0										0		
9357	0	12532					340	0	45032					0	0	0			0	0	0	0										864		
9553	0	1897					3085	31583	36289					65976	0	0			31583	12285	0	0										0		
9807	0	64718					8261	180605	351043					50000	0	0			78660	179872	0	29468										1106		
9955	0	7361					3219	0	56573					23427	0	0			0	29774	10036	0										0		
10250	0	8900					3438	65564	174505					29400	0	0			65564	50790	0	0										0		
10849	0	12362					695	0	56417					0	0	0			0	16303	0	0										0		
11145	0	0					1590	0	123896					23244	0	0			0	67932	0	0										0		
11640	0	0					3129	0	105540					10500	0	0			0	70627	0	0										0		
11837	0	7391					147	0	60065					0	0	0			0	5408	0	0										0		
12030	0	51746					24755	189	54925					0	0	0			0	0	0	0										0		
12142	0	0					773	52346	64977					0	0	0			21	41325	0	0										0		
12311	0	6110737	0	0	0	200606	795024	15036319	27454237	252095	195612071	0	177926812	12969587	570999	653703	86886	142486	1673	3378108	0	132894	8988167	10710151	5959593	4618584	0	2283565	0	10000	0	1192	834041	
12647	0	0					578	61015	0					12850	0	0			28799	0	0	0										0		
12946	0	0					8899	0	551803					75028	0	0			0	275533	0	0										4497		
13103	0	96180					2148	26021	414745					62922	0	0			0	16920	0	0										21909		
13251	0	1125					735	0	2640					0	0	0			0	344	0	0										0		
13457	0	726					0	0	2663					0	0	0			0	394	0	0										0		
14155	0	10650					820	0	27732					26000	0	0			0	10191	0	0										0		
14650	1989	0					182	6544	0					0	0	0			4551	0	0	0										0		
14753	0	191					182	561	9643					0	0	0			500	4949	0	0										98		
14865	0	0					734	2949	221240					0	0	0			710	2917	0	0										0		
