"ACQ_BRANCHES","ACQ_BRANCHES_HREF","ACQ_CERT","ACQ_CHARTAGENT","ACQ_CHARTER","ACQ_CLASS","ACQ_CLASS_TYPE","ACQ_CLASS_TYPE_DESC","ACQ_CLCODE","ACQ_CNTYNAME","ACQ_CNTYNUM","ACQ_FDICREGION","ACQ_FDICREGION_DESC","ACQ_INSAGENT1","ACQ_INSAGENT2","ACQ_INSTNAME","ACQ_LATITUDE","ACQ_LONGITUDE","ACQ_ORGTYPE_NUM","ACQ_ORG_EFF_DTE","ACQ_PADDR","ACQ_PADDR2","ACQ_PCITY","ACQ_PSTALP","ACQ_PSTNUM","ACQ_PZIP5","ACQ_PZIPREST","ACQ_REGAGENT","ACQ_TRUST","ACQ_UNINUM","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_INSAGENT1","FRM_LATITUDE","FRM_LONGITUDE","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSURED_COM_FLAG","INSURED_OTS_FLAG","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","OUT_CERT","OUT_CHARTAGENT","OUT_CHARTER","OUT_CLASS","OUT_CLASS_TYPE","OUT_CLASS_TYPE_DESC","OUT_CLCODE","OUT_CNTYNAME","OUT_CNTYNUM","OUT_FDICREGION","OUT_FDICREGION_DESC","OUT_INSAGENT1","OUT_INSAGENT2","OUT_INSTNAME","OUT_LATITUDE","OUT_LONGITUDE","OUT_ORGTYPE_NUM","OUT_PADDR","OUT_PADDR2","OUT_PCITY","OUT_PSTALP","OUT_PSTNUM","OUT_PZIP5","OUT_PZIPREST","OUT_REGAGENT","OUT_TRUST","OUT_UNINUM","PROCDATE","PROCYEAR","PSTALP","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","STNUM","SUR_CERT","SUR_CHANGECODE","SUR_CHANGECODE_DESC","SUR_CHARTAGENT","SUR_CHARTER","SUR_CLASS","SUR_CLASS_TYPE","SUR_CLASS_TYPE_DESC","SUR_CLCODE","SUR_CNTYNAME","SUR_CNTYNUM","SUR_FDICREGION","SUR_FDICREGION_DESC","SUR_INSAGENT1","SUR_INSAGENT2","SUR_INSTNAME","SUR_LATITUDE","SUR_LONGITUDE","SUR_MADDR","SUR_MADDR2","SUR_MCITY","SUR_MSTALP","SUR_MSTATE","SUR_MZIP5","SUR_ORGTYPE_NUM","SUR_PADDR","SUR_PADDR2","SUR_PCITY","SUR_PSTALP","SUR_PSTNUM","SUR_PZIP5","SUR_PZIPREST","SUR_REGAGENT","SUR_TRUST","TRANSNUM","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG","CERT"
"3","/history?filters=TRANSNUM:201400430 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","19333","STATE","0","NM","C","Commercial","21","DUPAGE","43","9","CHICAGO","DIF","","Republic Bank of Chicago","41.845462","-87.982835","10","2010-04-23T00:00:00","2221 CAMDEN COURT","","OAK BROOK","IL","17","60523","0000","FDIC","Limited","13145","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,DuPage National Bank, (,[object Object],):, ,[object Object]","0","0","0","0","NM","1","C","Commercial","2014-01-17T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","DIF","0","0","0","IL","0","OCC","201400430_211_3907_13145_3907","DIF","0","0","0","0","0","10","FI","N","5732","OCC","0","N","C","Commercial","3","DUPAGE","43","9","CHICAGO","DIF","","DuPage National Bank","41.884174","-88.204444","10","101 MAIN STREET","","WEST CHICAGO","IL","17","60185","0000","OCC","None","3907","2014-01-21T00:00:00","2014","IL","FDIC","1","0","211","17","19333","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","DUPAGE","43","9","CHICAGO","DIF","","Republic Bank of Chicago","41.845462","-87.982835","2221 CAMDEN COURT","","OAK BROOK","IL","ILLINOIS","60523","10","2221 CAMDEN COURT","","OAK BROOK","IL","17","60523","0000","FDIC","Limited","201400430","0","0","0","0","0","3907","0","0",""
"2","/history?filters=TRANSNUM:201400486 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","27476","STATE","0","NM","C","Commercial","21","OKLAHOMA","109","13","DALLAS","DIF","","BancFirst","35.46816619375562","-97.51443838731069","10","2014-01-24T00:00:00","101 NORTH BROADWAY, SUITE 200","","OKLAHOMA CITY","OK","40","73102","0000","FDIC","Full","40093","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,The Bank of Union, (,[object Object],):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2014-01-24T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","OK","0","FDIC","201400486_211_11899_40093_11899","DIF","0","0","0","0","0","10","FI","N","17967","STATE","0","NM","C","Commercial","21","CANADIAN","17","13","DALLAS","DIF","","The Bank of Union","35.510371","-97.972694","10","2000 SOUTH COUNTRY CLUB ROAD","","EL RENO","OK","40","73036","5673","FDIC","","11899","2014-01-27T00:00:00","2014","OK","FDIC","0","0","211","40","27476","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","OKLAHOMA","109","13","DALLAS","DIF","","BancFirst","35.46816619375562","-97.51443838731069","101 NORTH BROADWAY, SUITE 200","","OKLAHOMA CITY","OK","OKLAHOMA","73102","10","101 NORTH BROADWAY, SUITE 200","","OKLAHOMA CITY","OK","40","73102","0000","FDIC","Full","201400486","0","0","0","0","0","11899","0","0",""
"6","/history?filters=TRANSNUM:201400565 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","20164","STATE","0","NM","C","Commercial","21","ORANGE","59","14","SAN FRANCISCO","DIF","","Sunwest Bank","33.684772619094225","-117.8513298774309","10","2013-01-11T00:00:00","2050 MAIN STREET","","IRVINE","CA","6","92614","0000","FDIC","","13857","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Syringa Bank, (,[object Object],):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2014-01-31T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","ID","0","FDIC","201400565_211_57055_13857_57055","DIF","0","0","0","0","0","10","FI","N","34296","STATE","0","NM","C","Commercial","21","ADA","1","14","SAN FRANCISCO","DIF","","Syringa Bank","43.61610517239669","-116.24353389050948","10","1299 N Orchard St","","BOISE","ID","16","83706","0000","FDIC","","57055","2014-02-04T00:00:00","2014","CA","FDIC","0","1","211","6","20164","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","ORANGE","59","14","SAN FRANCISCO","DIF","","Sunwest Bank","33.684772619094225","-117.8513298774309","PO Box 1028","","TUSTIN","CA","CALIFORNIA","92781","10","2050 Main Street","","IRVINE","CA","6","92614","0000","FDIC","","201400565","0","0","0","0","0","57055","0","0",""
"3","/history?filters=TRANSNUM:201401011 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","57696","STATE","0","NM","C","Commercial","21","FAIRFAX","59","5","ATLANTA","DIF","","WashingtonFirst Bank","38.95144984260942","-77.34814178882262","10","2014-02-28T00:00:00","11636 PLAZA AMERICA DRIVE","","RESTON","VA","51","20190","0000","FDIC","","420126","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Millennium Bank, National Association, (,[object Object],):, ,[object Object]","0","0","0","0","NM","1","C","Commercial","2014-02-28T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","DIF","0","0","10","VA","51","OCC","201401011_211_74675_420126_74675","DIF","0","0","0","0","0","10","FI","N","35096","OCC","23828","N","C","Commercial","3","LOUDOUN","107","5","ATLANTA","DIF","","Millennium Bank, National Association","39.019227190083825","-77.37720929876934","10","21430 CEDAR DRIVE, UNIT 100","","STERLING","VA","51","20164","0000","OCC","","74675","2014-03-04T00:00:00","2014","VA","FDIC","1","0","211","51","57696","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","FAIRFAX","59","5","ATLANTA","DIF","","WashingtonFirst Bank","38.95144984260942","-77.34814178882262","11921 FREEDOM DRIVE, SUITE 250","","RESTON","VA","VIRGINIA","20190","10","11636 PLAZA AMERICA DRIVE","","RESTON","VA","51","20190","0000","FDIC","","201401011","0","0","0","0","0","74675","0","0",""
"1","/history?filters=TRANSNUM:201401015 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","58471","STATE","0","NM","C","Commercial","21","MERCER","21","2","NEW YORK","DIF","","First Choice Bank","40.25046","-74.731236","10","2014-02-03T00:00:00","669 WHITEHEAD ROAD","","LAWRENCEVILLE","NJ","34","08648","0000","FDIC","","452952","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Vantage Point Bank, (,[object Object],):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2014-02-28T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","10","PA","42","FDIC","201401015_211_455599_452952_455599","DIF","0","0","0","0","0","10","FI","N","58531","STATE","0","NM","C","Commercial","21","MONTGOMERY","91","2","NEW YORK","DIF","","Vantage Point Bank","40.17005873410461","-75.12962926951775","10","100 GIBRALTAR ROAD","","HORSHAM","PA","42","19044","0000","FDIC","","455599","2014-03-04T00:00:00","2014","NJ","FDIC","0","1","211","34","58471","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","MERCER","21","2","NEW YORK","DIF","","First Choice Bank","40.25046","-74.731236","4420 ROUTE 27, SUITE A","","KINGSTON","NJ","NEW JERSEY","08528","10","669 WHITEHEAD ROAD","","LAWRENCEVILLE","NJ","34","08648","0000","FDIC","","201401015","0","0","0","0","0","455599","0","0",""
"5","/history?filters=TRANSNUM:201402040 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","17563","STATE","0","NM","C","Commercial","21","HAMPTON","49","5","ATLANTA","DIF","","Palmetto State Bank","32.866049","-81.110272","10","2007-02-17T00:00:00","601 FIRST STREET, WEST","","HAMPTON","SC","45","29924","0000","FDIC","Limited","11537","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Allendale County Bank, (,[object Object],):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2014-04-25T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","10","SC","45","FDIC","201402040_211_9446_11537_9446","DIF","0","0","0","0","0","10","FI","N","15062","STATE","0","NM","C","Commercial","21","ALLENDALE","5","5","ATLANTA","DIF","","Allendale County Bank","32.960567","-81.236608","10","SE200 7TH ST W","","FAIRFAX","SC","45","29827","0000","FDIC","","9446","2014-04-28T00:00:00","2014","SC","FDIC","0","0","211","45","17563","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","HAMPTON","49","5","ATLANTA","DIF","","Palmetto State Bank","32.866049","-81.110272","P.O. BOX  158","","HAMPTON","SC","SOUTH CAROLINA","29924","10","601 FIRST STREET, WEST","","HAMPTON","SC","45","29924","0000","FDIC","Limited","201402040","0","0","0","0","0","9446","0","0",""
"2","/history?filters=TRANSNUM:201402564 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","19333","STATE","0","NM","C","Commercial","21","DUPAGE","43","9","CHICAGO","DIF","","Republic Bank of Chicago","41.845462","-87.982835","10","2014-01-17T00:00:00","2221 CAMDEN COURT","","OAK BROOK","IL","17","60523","0000","FDIC","Limited","13145","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,AztecAmerica Bank, (,[object Object],):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2014-05-16T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","IL","0","FDIC","201402564_211_428530_13145_428530","DIF","0","0","0","0","0","10","FI","N","57866","STATE","0","NM","C","Commercial","21","COOK","31","9","CHICAGO","DIF","","AztecAmerica Bank","41.851176","-87.793308","10","2136 SOUTH OAK PARK AVENUE","","BERWYN","IL","17","60402","0000","FDIC","","428530","2014-05-20T00:00:00","2014","IL","FDIC","0","0","211","17","19333","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","DUPAGE","43","9","CHICAGO","DIF","","Republic Bank of Chicago","41.845462","-87.982835","2221 CAMDEN COURT","","OAK BROOK","IL","ILLINOIS","60523","10","2221 CAMDEN COURT","","OAK BROOK","IL","17","60523","0000","FDIC","Limited","201402564","0","0","0","0","0","428530","0","0",""
"1","/history?filters=TRANSNUM:201402624 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","29566","OCC","703676","SB","S","Savings","33","VANDERBURGH","163","9","CHICAGO","DIF","","United Fidelity Bank, fsb","37.9721","-87.571589","115","2011-07-21T00:00:00","18 NW FOURTH STREET","","EVANSVILLE","IN","18","47708","0000","OCC","","42400","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Columbia Savings Bank, (,[object Object],):, ,[object Object]","0","0","0","0","SB","1","S","Savings","2014-05-23T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","1","0","SI","S","Savings","DIF","0","0","0","OH","0","FDIC","201402624_211_45118_42400_45118","DIF","0","0","0","0","0","115","FI","N","32284","STATE","0","SI","S","Savings","41","HAMILTON","61","9","CHICAGO","DIF","","Columbia Savings Bank","39.143972","-84.522765","115","411 LUDLOW AVENUE","","CINCINNATI","OH","39","45220","0000","FDIC","","45118","2014-05-27T00:00:00","2014","IN","OCC","1","1","211","18","29566","811","FDIC ASSISTED MERGER","OCC","703676","SB","S","Savings","33","VANDERBURGH","163","9","CHICAGO","DIF","","United Fidelity Bank, fsb","37.9721","-87.571589","18 Nw 4th St","","EVANSVILLE","IN","INDIANA","47708","115","18 NW FOURTH STREET","","EVANSVILLE","IN","18","47708","0000","OCC","","201402624","0","0","0","0","0","45118","0","0",""
"2","/history?filters=TRANSNUM:201402742 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","59004","OCC","718140","SB","S","Savings","33","BALTIMORE","5","2","NEW YORK","DIF","","Bay Bank, FSB","39.41838","-76.667982","115","2013-04-19T00:00:00","2328  WEST JOPPA ROAD SUITE 325","","LUTHERVILLE","MD","24","21093","0000","OCC","","494732","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Slavie Federal Savings Bank, (,[object Object],):, ,[object Object]","0","0","0","0","SB","0","S","Savings","2014-05-30T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","1","0","SB","S","Savings","DIF","0","0","125","MD","24","OCC","201402742_211_45202_494732_45202","DIF","0","0","0","0","0","115","FI","N","32368","OCC","708191","SB","S","Savings","37","HARFORD","25","2","NEW YORK","DIF","","Slavie Federal Savings Bank","39.54721","-76.312007","125","1614 CHURCHVILLE ROAD","","BEL AIR","MD","24","21015","4804","OCC","","45202","2014-06-02T00:00:00","2014","MD","OCC","0","0","211","24","59004","811","FDIC ASSISTED MERGER","OCC","718140","SB","S","Savings","33","BALTIMORE","5","2","NEW YORK","DIF","","Bay Bank, FSB","39.41838","-76.667982","7151 COLUMBIA GATEWAY DRIVE, SUITE A","","COLUMBIA","MD","MARYLAND","21046","115","2328  WEST JOPPA ROAD SUITE 325","","LUTHERVILLE","MD","24","21093","0000","OCC","","201402742","0","0","0","0","0","45202","0","0",""
"15","/history?filters=TRANSNUM:201403254 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","29546","STATE","0","NM","C","Commercial","21","STONE","209","11","KANSAS CITY","DIF","","Great Southern Bank","36.66226616219133","-93.4161060936253","10","2014-06-20T00:00:00","14309 STATE HIGHWAY 13","","REEDS SPRING","MO","29","65737","0000","FDIC","None","42380","0","Y","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance,[object Object],. ,A link to FDIC closing information for ,Valley Bank, (,[object Object],):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2014-06-20T00:00:00","2014","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","IL","0","FDIC","201403254_211_6683_42380_6683","DIF","0","0","0","0","0","10","FI","N","10450","STATE","0","NM","C","Commercial","21","ROCK ISLAND","161","9","CHICAGO","DIF","","Valley Bank","41.491515","-90.487511","10","3455 AVENUE OF THE CITIES","","MOLINE","IL","17","61265","0000","FDIC","","6683","2014-06-23T00:00:00","2014","MO","FDIC","0","1","211","29","29546","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","STONE","209","11","KANSAS CITY","DIF","","Great Southern Bank","36.66226616219133","-93.4161060936253","218 S. GLENSTONE","","SPRINGFIELD","MO","MISSOURI","65802","10","14309 STATE HIGHWAY 13","","REEDS SPRING","MO","29","65737","0000","FDIC","None","201403254","0","0","0","0","0","6683","0","0",""
