"ACQ_BRANCHES","ACQ_BRANCHES_HREF","ACQ_CERT","ACQ_CHARTAGENT","ACQ_CHARTER","ACQ_CLASS","ACQ_CLASS_TYPE","ACQ_CLASS_TYPE_DESC","ACQ_CLCODE","ACQ_CNTYNAME","ACQ_CNTYNUM","ACQ_FDICREGION","ACQ_FDICREGION_DESC","ACQ_INSAGENT1","ACQ_INSAGENT2","ACQ_INSTNAME","ACQ_LATITUDE","ACQ_LONGITUDE","ACQ_ORGTYPE_NUM","ACQ_ORG_EFF_DTE","ACQ_PADDR","ACQ_PADDR2","ACQ_PCITY","ACQ_PSTALP","ACQ_PSTNUM","ACQ_PZIP5","ACQ_PZIPREST","ACQ_REGAGENT","ACQ_TRUST","ACQ_UNINUM","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_INSAGENT1","FRM_LATITUDE","FRM_LONGITUDE","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSURED_COM_FLAG","INSURED_OTS_FLAG","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","OUT_CERT","OUT_CHARTAGENT","OUT_CHARTER","OUT_CLASS","OUT_CLASS_TYPE","OUT_CLASS_TYPE_DESC","OUT_CLCODE","OUT_CNTYNAME","OUT_CNTYNUM","OUT_FDICREGION","OUT_FDICREGION_DESC","OUT_INSAGENT1","OUT_INSAGENT2","OUT_INSTNAME","OUT_LATITUDE","OUT_LONGITUDE","OUT_ORGTYPE_NUM","OUT_PADDR","OUT_PADDR2","OUT_PCITY","OUT_PSTALP","OUT_PSTNUM","OUT_PZIP5","OUT_PZIPREST","OUT_REGAGENT","OUT_TRUST","OUT_UNINUM","PROCDATE","PROCYEAR","PSTALP","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","STNUM","SUR_CERT","SUR_CHANGECODE","SUR_CHANGECODE_DESC","SUR_CHARTAGENT","SUR_CHARTER","SUR_CLASS","SUR_CLASS_TYPE","SUR_CLASS_TYPE_DESC","SUR_CLCODE","SUR_CNTYNAME","SUR_CNTYNUM","SUR_FDICREGION","SUR_FDICREGION_DESC","SUR_INSAGENT1","SUR_INSAGENT2","SUR_INSTNAME","SUR_LATITUDE","SUR_LONGITUDE","SUR_MADDR","SUR_MADDR2","SUR_MCITY","SUR_MSTALP","SUR_MSTATE","SUR_MZIP5","SUR_ORGTYPE_NUM","SUR_PADDR","SUR_PADDR2","SUR_PCITY","SUR_PSTALP","SUR_PSTNUM","SUR_PZIP5","SUR_PZIPREST","SUR_REGAGENT","SUR_TRUST","TRANSNUM","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG"
"1","/history?filters=TRANSNUM:201400026 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","33134","STATE","0","NM","C","Commercial","21","Washtenaw","161","9","CHICAGO","DIF","","Talmer West Bank","42.244769","-83.739335","10","2014-01-01T00:00:00","2950 State Street South","","Ann Arbor","MI","26","48104","0000","FDIC","Full","46369","0","Y","35428","221","Absorbtion - Without Assistance","Merged and became part of Talmer West Bank (33134) in Ann Arbor, MI. ","0","0","0","0","NM","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","NM","0","FDIC","201400026_221_80025_46369_80025","DIF","0","0","0","0","0","10","FI","N","35428","STATE","0","NM","C","Commercial","21","Bernalillo","1","9","CHICAGO","DIF","","SUNRISE BANK OF ALBUQUERQUE","35.084372","-106.65021","10","219 Central Avenue Northwest","","Albuquerque","NM","35","87102","0000","FDIC","","80025","2014-01-03T00:00:00","2014","MI","FDIC","0","1","221","26","33134","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Washtenaw","161","9","CHICAGO","DIF","","Talmer West Bank","42.244769","-83.739335","2950 State Street South","","Ann Arbor","MI","Michigan","48104","10","2950 State Street South","","Ann Arbor","MI","26","48104","0000","FDIC","Full","201400026","1","0","0","0","0","80025","0","0"
"1","/history?filters=TRANSNUM:201400211 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","4778","OCC","10971","N","C","Commercial","3","Marshall","117","11","KANSAS CITY","DIF","","Western National Bank","39.996001","-96.348659","10","2009-11-01T00:00:00","401 Main Street","","Summerfield","KS","20","66541","0000","OCC","","3191","0","Y","16881","223","Merger -Without Assistance","Merged and became part of Western National Bank (4778) in Summerfield, KS. ","0","0","0","0","N","1","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","10","NE","31","FDIC","201400211_223_10973_3191_10973","DIF","0","0","0","0","0","10","FI","N","16881","STATE","0","NM","C","Commercial","21","Thayer","169","11","KANSAS CITY","DIF","","State Bank of Chester","40.0094757582008","-97.6188108980038","10","523 Thayer Avenue","","Chester","NE","31","68327","0000","FDIC","","10973","2014-01-10T00:00:00","2014","NE","OCC","1","0","223","31","4778","810","Participated in Absorbtion/Consolidation/Merger","OCC","10971","N","C","Commercial","3","Thayer","169","11","KANSAS CITY","DIF","","Western National Bank","40.0094757582008","-97.6188108980038","P.O. Box 367","","Chester","NE","Nebraska","68327","10","523 Thayer Avenue","","Chester","NE","31","68327","0000","OCC","","201400211","1","0","0","0","0","10973","0","0"
"1","/history?filters=TRANSNUM:201400235 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","13953","STATE","0","SM","C","Commercial","13","Sioux","167","11","KANSAS CITY","DIF","","Iowa State Bank","43.188718","-96.133767","10","2006-03-31T00:00:00","1101 Main Street","","Hull","IA","19","51239","0814","FED","Full","8727","0","Y","9297","223","Merger -Without Assistance","Merged and became part of Iowa State Bank (13953) in Hull, IA. ","0","0","0","0","SM","1","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","10","IA","19","FDIC","201400235_223_5952_8727_5952","DIF","0","0","0","0","0","10","FI","N","9297","STATE","0","NM","C","Commercial","21","Plymouth","149","11","KANSAS CITY","DIF","","Iowa State Bank","42.814784","-95.973075","10","17 West Second Street","","Remsen","IA","19","51050","0000","FDIC","None","5952","2014-01-10T00:00:00","2014","IA","FED","1","0","223","19","13953","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","SM","C","Commercial","13","Sioux","167","11","KANSAS CITY","DIF","","Iowa State Bank","43.188718","-96.133767","105 Albany Avenue Se","","Orange City","IA","Iowa","51041","10","1101 Main Street","","Hull","IA","19","51239","0814","FED","Full","201400235","1","0","0","0","0","5952","0","0"
"4","/history?filters=TRANSNUM:201400287 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","33134","STATE","0","NM","C","Commercial","21","Washtenaw","161","9","CHICAGO","DIF","","Talmer West Bank","42.244769","-83.739335","10","2014-01-01T00:00:00","2950 State Street South","","Ann Arbor","MI","26","48104","0000","FDIC","Full","46369","0","Y","57276","223","Merger -Without Assistance","Merged and became part of Talmer West Bank (33134) in Ann Arbor, MI. ","0","0","0","0","NM","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","NV","0","FDIC","201400287_223_360586_46369_360586","DIF","0","0","0","0","0","10","FI","N","57276","STATE","0","NM","C","Commercial","21","Clark","3","9","CHICAGO","DIF","","Bank of Las Vegas","36.01245","-115.062121","10","1700 West Horizon Ridge Parkway, Suite 101","","Henderson","NV","32","89012","0000","FDIC","","360586","2014-01-15T00:00:00","2014","MI","FDIC","0","1","223","26","33134","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Washtenaw","161","9","CHICAGO","DIF","","Talmer West Bank","42.244769","-83.739335","2950 State Street South","","Ann Arbor","MI","Michigan","48104","10","2950 State Street South","","Ann Arbor","MI","26","48104","0000","FDIC","Full","201400287","1","0","0","0","0","360586","0","0"
"2","/history?filters=TRANSNUM:201400289 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","33134","STATE","0","NM","C","Commercial","21","Washtenaw","161","9","CHICAGO","DIF","","Talmer West Bank","42.244769","-83.739335","10","2014-01-01T00:00:00","2950 State Street South","","Ann Arbor","MI","26","48104","0000","FDIC","Full","46369","0","Y","57037","223","Merger -Without Assistance","Merged and became part of Talmer West Bank (33134) in Ann Arbor, MI. ","0","0","0","0","NM","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","IN","0","FDIC","201400289_223_334387_46369_334387","DIF","0","0","0","0","0","10","FI","N","57037","STATE","0","NM","C","Commercial","21","Elkhart","39","9","CHICAGO","DIF","","Indiana Community Bank","41.586323","-85.842889","10","511 West Lincoln Avenue","","Goshen","IN","18","46526","0000","FDIC","","334387","2014-01-15T00:00:00","2014","MI","FDIC","0","1","223","26","33134","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Washtenaw","161","9","CHICAGO","DIF","","Talmer West Bank","42.244769","-83.739335","2950 State Street South","","Ann Arbor","MI","Michigan","48104","10","2950 State Street South","","Ann Arbor","MI","26","48104","0000","FDIC","Full","201400289","1","0","0","0","0","334387","0","0"
"1","/history?filters=TRANSNUM:201400290 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","3076","STATE","0","NM","C","Commercial","21","Collin","85","13","DALLAS","DIF","","Independent Bank","33.170583","-96.643704","10","2013-11-30T00:00:00","3090 Craig Drive","","Mckinney","TX","48","75070","0000","FDIC","","1958","0","Y","57187","223","Merger -Without Assistance","Merged and became part of Independent Bank (3076) in Mckinney, TX. ","0","0","0","0","NM","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","TX","0","FDIC","201400290_223_359285_1958_359285","DIF","0","0","0","0","0","10","FI","N","57187","STATE","0","NM","C","Commercial","21","Dallas","113","13","DALLAS","DIF","","Live Oak State Bank","32.79157","-96.7849709999999","10","3206 Live Oak","","Dallas","TX","48","75204","0000","FDIC","","359285","2014-01-15T00:00:00","2014","TX","FDIC","0","0","223","48","3076","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Collin","85","13","DALLAS","DIF","","Independent Bank","33.170583","-96.643704","P.O. Box 3035","","Mc Kinney","TX","Texas","75070","10","3090 Craig Drive","","Mckinney","TX","48","75070","0000","FDIC","","201400290","1","0","0","0","0","359285","0","0"
"2","/history?filters=TRANSNUM:201400292 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","3218","OCC","5288","N","C","Commercial","3","Upshur","459","13","DALLAS","DIF","","The First National Bank of Gilmer","32.729797","-94.94265","10","2010-06-01T00:00:00","201 North Wood Street","","Gilmer","TX","48","75644","0000","OCC","","2074","0","Y","17027","223","Merger -Without Assistance","Merged and became part of The First National Bank of Gilmer (3218) in Gilmer, TX. ","0","0","0","0","N","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","N","C","Commercial","DIF","0","0","0","TX","0","OCC","201400292_223_11092_2074_11092","DIF","0","0","0","0","0","10","FI","N","17027","OCC","0","N","C","Commercial","3","Upshur","459","13","DALLAS","DIF","","Security State Bank, National Association","32.799876","-94.721002","10","220 East Main Street","","Ore City","TX","48","75683","0000","OCC","","11092","2014-01-15T00:00:00","2014","TX","OCC","0","0","223","48","3218","810","Participated in Absorbtion/Consolidation/Merger","OCC","5288","N","C","Commercial","3","Upshur","459","13","DALLAS","DIF","","The First National Bank of Gilmer","32.729797","-94.94265","P.O. Box  520","","Gilmer","TX","Texas","75644","10","201 North Wood Street","","Gilmer","TX","48","75644","0000","OCC","","201400292","1","0","0","0","0","11092","0","0"
"5","/history?filters=TRANSNUM:201400332 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","22394","STATE","0","NM","C","Commercial","21","Wayne","223","11","KANSAS CITY","DIF","","Peoples Community Bank","37.1236344930381","-90.4515717459213","10","2011-01-14T00:00:00","101 Sycamore St","","Greenville","MO","29","63944","","FDIC","","15595","0","Y","23115","223","Merger -Without Assistance","Merged and became part of Peoples Community Bank (22394) in Greenville, MO. ","0","0","0","0","NM","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","MO","0","FDIC","201400332_223_16191_15595_16191","DIF","0","0","0","0","0","10","FI","N","23115","STATE","0","NM","C","Commercial","21","Ripley","181","11","KANSAS CITY","DIF","","Peoples Community State Bank","36.593172","-90.93901","10","Highways 142 and 160","","Doniphan","MO","29","63935","0000","FDIC","","16191","2014-01-15T00:00:00","2014","MO","FDIC","0","0","223","29","22394","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Wayne","223","11","KANSAS CITY","DIF","","Peoples Community Bank","37.1236344930381","-90.4515717459213","Highway 67, P. O. Box 350","","Greenville","MO","Missouri","63944","10","101 Sycamore St","","Greenville","MO","29","63944","","FDIC","","201400332","1","0","0","0","0","16191","0","0"
"12","/history?filters=TRANSNUM:201400365 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","11063","STATE","0","NM","C","Commercial","21","Wake","183","5","ATLANTA","DIF","","First-Citizens Bank & Trust Company","35.777656992794","-78.638720968104","10","2013-09-10T00:00:00","239 Fayetteville Street","","Raleigh","NC","37","27601","1309","FDIC","Full","7078","0","Y","57763","221","Absorbtion - Without Assistance","Merged and became part of First-Citizens Bank & Trust Company (11063) in Raleigh, NC. ","0","0","0","0","NM","0","C","Commercial","2014-01-01T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","NC","0","FDIC","201400365_221_424213_7078_424213","DIF","0","0","0","0","0","10","FI","N","57763","STATE","0","NM","C","Commercial","21","Henderson","89","5","ATLANTA","DIF","","Mountain 1st Bank & Trust Company","35.334371","-82.44247","10","101 Jack Street","","Hendersonville","NC","37","28792","2952","FDIC","","424213","2014-01-16T00:00:00","2014","NC","FDIC","0","0","221","37","11063","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Wake","183","5","ATLANTA","DIF","","First-Citizens Bank & Trust Company","35.777656992794","-78.638720968104","4300 Six Forks Road","","Raleigh","NC","North Carolina","27609","10","239 Fayetteville Street","","Raleigh","NC","37","27601","1309","FDIC","Full","201400365","1","0","0","0","0","424213","0","0"
"2","/history?filters=TRANSNUM:201400461 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","13897","STATE","0","NM","C","Commercial","21","Clinton","49","11","KANSAS CITY","DIF","","Farmers State Bank","39.741359","-94.238116","10","2006-03-31T00:00:00","124 East Third St.","","Cameron","MO","29","64429","0000","FDIC","","8690","0","Y","28731","223","Merger -Without Assistance","Merged and became part of Farmers State Bank (13897) in Cameron, MO. ","0","0","0","0","NM","1","C","Commercial","2014-01-17T00:00:00","2014","9999-12-31T00:00:00","9999","0","0","0","0","0","SB","S","Savings","DIF","0","0","125","MO","29","OCC","201400461_223_41565_8690_41565","DIF","0","0","0","0","0","10","FI","N","28731","OCC","702248","SB","S","Savings","37","Buchanan","21","11","KANSAS CITY","DIF","","Midwest Federal Savings and Loan Association of St Joseph","39.773998","-94.837277","125","1901 Frederick Avenue","","Saint Joseph","MO","29","64501","1534","OCC","","41565","2014-01-23T00:00:00","2014","MO","FDIC","1","0","223","29","13897","810","Participated in Absorbtion/Consolidation/Merger","STATE","0","NM","C","Commercial","21","Clinton","49","11","KANSAS CITY","DIF","","Farmers State Bank","39.741359","-94.238116","P. O. Box 567","","Cameron","MO","Missouri","64429","10","124 East Third St.","","Cameron","MO","29","64429","0000","FDIC","","201400461","0","0","0","1","0","41565","0","0"
