YEAR,STNAME,BRANCHES,ID,NEW_CHAR,CONV,MERG_ASSIST,MERG_UNASSIST,TOTAL
2023,United States & Other Areas,69997,CB_2023_USA,9,89,7,108,4036
2022,United States & Other Areas,69905,CB_2022_USA,14,98,0,124,4136
2021,United States & Other Areas,70644,CB_2021_USA,9,117,0,160,4238
2020,United States & Other Areas,73107,CB_2020_USA,7,91,3,149,4379
2019,United States & Other Areas,75076,CB_2019_USA,13,148,4,209,4526
2018,United States & Other Areas,77134,CB_2018_USA,7,147,0,229,4717
2017,United States & Other Areas,78196,CB_2017_USA,5,161,6,204,4918
2016,United States & Other Areas,79499,CB_2016_USA,0,155,5,227,5112
2015,United States & Other Areas,80958,CB_2015_USA,1,220,6,272,5340
2014,United States & Other Areas,81405,CB_2014_USA,0,191,16,251,5607
2013,United States & Other Areas,82126,CB_2013_USA,1,170,17,213,5847
2012,United States & Other Areas,82965,CB_2012_USA,1,198,48,182,6072
2011,United States & Other Areas,82564,CB_2011_USA,5,220,85,186,6275
2010,United States & Other Areas,82011,CB_2010_USA,10,259,131,183,6519
2009,United States & Other Areas,82490,CB_2009_USA,29,238,122,170,6829
2008,United States & Other Areas,82422,CB_2008_USA,91,285,20,279,7077
2007,United States & Other Areas,78620,CB_2007_USA,176,339,2,293,7279
2006,United States & Other Areas,76023,CB_2006_USA,179,259,0,319,7397
2005,United States & Other Areas,72958,CB_2005_USA,167,238,0,287,7523
2004,United States & Other Areas,70313,CB_2004_USA,122,260,3,286,7628
2003,United States & Other Areas,67592,CB_2003_USA,110,236,2,243,7767
2002,United States & Other Areas,66269,CB_2002_USA,91,311,7,316,7887
2001,United States & Other Areas,64994,CB_2001_USA,127,410,3,390,8082
2000,United States & Other Areas,64213,CB_2000_USA,190,488,7,509,8315
1999,United States & Other Areas,63631,CB_1999_USA,232,306,6,455,8582
1998,United States & Other Areas,61940,CB_1998_USA,189,489,3,626,8775
1997,United States & Other Areas,60204,CB_1997_USA,188,481,1,682,9144
1996,United States & Other Areas,57611,CB_1996_USA,145,174,4,600,9530
