"BRANCHES","ID","MERGERS","New_Char","REL_CO","STNAME","TOTAL","UNASSIST","YEAR"
69997,"CB_2023_USA",7,9,89,"United States & Other Areas",4036,108,"2023"
69905,"CB_2022_USA",0,14,98,"United States & Other Areas",4136,124,"2022"
70644,"CB_2021_USA",0,9,117,"United States & Other Areas",4238,160,"2021"
73107,"CB_2020_USA",3,7,91,"United States & Other Areas",4379,149,"2020"
75076,"CB_2019_USA",4,13,148,"United States & Other Areas",4526,209,"2019"
77134,"CB_2018_USA",0,7,147,"United States & Other Areas",4717,229,"2018"
78196,"CB_2017_USA",6,5,161,"United States & Other Areas",4918,204,"2017"
79499,"CB_2016_USA",5,0,155,"United States & Other Areas",5112,227,"2016"
80958,"CB_2015_USA",6,1,220,"United States & Other Areas",5340,272,"2015"
81405,"CB_2014_USA",16,0,191,"United States & Other Areas",5607,251,"2014"
82126,"CB_2013_USA",17,1,170,"United States & Other Areas",5847,213,"2013"
82965,"CB_2012_USA",48,1,198,"United States & Other Areas",6072,182,"2012"
82564,"CB_2011_USA",85,5,220,"United States & Other Areas",6275,186,"2011"
82011,"CB_2010_USA",131,10,259,"United States & Other Areas",6519,183,"2010"
82490,"CB_2009_USA",122,29,238,"United States & Other Areas",6829,170,"2009"
82422,"CB_2008_USA",20,91,285,"United States & Other Areas",7077,279,"2008"
78620,"CB_2007_USA",2,176,339,"United States & Other Areas",7279,293,"2007"
76023,"CB_2006_USA",0,179,259,"United States & Other Areas",7397,319,"2006"
72958,"CB_2005_USA",0,167,238,"United States & Other Areas",7523,287,"2005"
70313,"CB_2004_USA",3,122,260,"United States & Other Areas",7628,286,"2004"
67592,"CB_2003_USA",2,110,236,"United States & Other Areas",7767,243,"2003"
66269,"CB_2002_USA",7,91,311,"United States & Other Areas",7887,316,"2002"
64994,"CB_2001_USA",3,127,410,"United States & Other Areas",8082,390,"2001"
64213,"CB_2000_USA",7,190,488,"United States & Other Areas",8315,509,"2000"
63631,"CB_1999_USA",6,232,306,"United States & Other Areas",8582,455,"1999"
61940,"CB_1998_USA",3,189,489,"United States & Other Areas",8775,626,"1998"
