Quarters,START_DATE,END_DATE
20240630,20240331,20240630
20240331,20231231,20240331
20231231,20230930,20231231
20230930,20230630,20230930
20230630,20230331,20230630
20230331,20221231,20230331
20221231,20220930,20221231
20220930,20220630,20220930
20220630,20220331,20220630
20220331,20211231,20220331
20211231,20210930,20211231
20210930,20210630,20210930
20210630,20210331,20210630
20210331,20201231,20210331
20201231,20200930,20201231
20200930,20200630,20200930
20200630,20200331,20200630
20200331,20191231,20200331
20191231,20190930,20191231
20190930,20190630,20190930
20190630,20190331,20190630
20190331,20181231,20190331
20181231,20180930,20181231
20180930,20180630,20180930
20180630,20180331,20180630
20180331,20171231,20180331
20171231,20170930,20171231
20170930,20170630,20170930
20170630,20170331,20170630
20170331,20161231,20170331
20161231,20160930,20161231
20160930,20160630,20160930
20160630,20160331,20160630
20160331,20151231,20160331
20151231,20150930,20151231
20150930,20150630,20150930
20150630,20150331,20150630
20150331,20141231,20150331
20141231,20140930,20141231
20140930,20140630,20140930
20140630,20140331,20140630
20140331,20131231,20140331
