Quarters,START_DATE,END_DATE
20240630,20140331,20140331
20240331,20140331,20140331
20231231,20140331,20140331
20230930,20140331,20140331
20230630,20140331,20140331
20230331,20140331,20140331
20221231,20140331,20140331
20220930,20140331,20140331
20220630,20140331,20140331
20220331,20140331,20140331
20211231,20140331,20140331
20210930,20140331,20140331
20210630,20140331,20140331
20210331,20140331,20140331
20201231,20140331,20140331
20200930,20140331,20140331
20200630,20140331,20140331
20200331,20140331,20140331
20191231,20140331,20140331
20190930,20140331,20140331
20190630,20140331,20140331
20190331,20140331,20140331
20181231,20140331,20140331
20180930,20140331,20140331
20180630,20140331,20140331
20180331,20140331,20140331
20171231,20140331,20140331
20170930,20140331,20140331
20170630,20140331,20140331
20170331,20140331,20140331
20161231,20140331,20140331
20160930,20140331,20140331
20160630,20140331,20140331
20160331,20140331,20140331
20151231,20140331,20140331
20150930,20140331,20140331
20150630,20140331,20140331
20150331,20140331,20140331
20141231,20140331,20140331
20140930,20140331,20140331
20140630,20140331,20140331
20140331,20140331,20140331
